root_area_id,node,n_subject_condition,n_subjects,n_conditions,FCV,FCS,FCV_raw_mean,FCS_raw_mean,complete_all7_all3
26,PrT,21,7,3,-0.4700581801827988,0.6581326313724588,0.2085798444507379,0.5058023411985213,True
28,SP,21,7,3,0.5548528954037849,0.1759951180686174,0.26194266282481377,0.42157623429812846,True
29,TeO,21,7,3,0.5234136475551844,-0.03467461777148545,0.2635988527035616,0.38412777267689563,True
30,Th,21,7,3,-0.05193880331754686,0.5945770819865202,0.23117262090855997,0.4848976064930986,True
31,TL,21,7,3,0.37957367393086566,-0.297990183123762,0.2584001724400337,0.33561377309477625,True
32,TS,21,7,3,0.6454310549030504,-0.7868388762164493,0.28963401647780807,0.24895745210247736,True
33,TG,21,7,3,-0.400316673292907,-1.7005323090441524,0.22608327839145959,0.09375189310412921,True
34,VR,21,7,3,-0.412155300703789,-0.18437652608042968,0.21515047376557045,0.3808640008217108,True
35,NX,21,7,3,-0.21899867774053816,0.03658457127096252,0.21927521971272873,0.4152256001356588,True
36,rMON,21,7,3,0.4240261987674191,-1.6614121734876386,0.2686186768885748,0.07289738634715054,True
37,rCb,21,7,3,-0.10812256106023209,0.43974168614757003,0.22388040324563968,0.47846058392101914,True
38,rMOS1,21,7,3,-0.6903829062206954,0.6032441867823881,0.19531896600231957,0.5135619388208733,True
39,rMOS2,21,7,3,-0.43959894572637803,0.6147048534527576,0.20731805878349352,0.5007231561627953,True
40,rMOS3,21,7,3,-0.5242202708499484,0.3659446770251312,0.20673723138828637,0.4785567624317106,True
41,rMOS4,21,7,3,-0.6446378953899202,0.7618597632668537,0.19893774285109045,0.5263167310055928,True
42,rMOS5,21,7,3,0.1402870184951931,0.2737874806720645,0.2422594471145572,0.439336880959142,True
43,rIPN,21,7,3,-0.14003488699878136,0.4300186402328004,0.2253555325290976,0.4685769845445547,True
44,rIO,21,7,3,0.16083219271226748,-0.7504520626315023,0.25612827566690394,0.2635400661631487,True
45,rHc,12,7,3,-0.8720443553589403,-0.12704280058236883,0.19592312469781173,0.3403270163638495,False
46,rRa,21,7,3,0.1319288226318029,-0.2191778752882923,0.24850592702730262,0.3594598475623673,True
47,rT,21,7,3,-0.3980630810661436,0.9295466313567312,0.20863975505506888,0.5409325948011835,True
48,raRF,21,7,3,-0.5680644401123071,0.5907490138772196,0.20214496578044516,0.49925217951827444,True
49,rimRF,21,7,3,-0.3626269469224296,0.7245505133752355,0.21118923668074624,0.5129703653672039,True
50,rpRF,21,7,3,-0.14251644447219397,0.4324325558770249,0.2213265602101735,0.4774016613679431,True
52,rHb,21,7,3,0.4617221256356252,-0.06888393971442243,0.2556007480443919,0.3806214755182619,True
53,rHi,21,7,3,-0.5408319154968626,0.8261374252975626,0.20705249549256466,0.5195704550678079,True
54,rHR,18,7,3,-0.21045665952490145,0.38198842578010694,0.2263224119659436,0.42957208724226786,False
55,rOG,15,7,3,-0.6921943069672116,-0.9377164702882889,0.2384426161514393,0.19208665254607768,False
56,rOB,21,7,3,1.845578611288241,-1.5326373953668972,0.3574560922432167,0.12279517794142034,True
57,rOE,15,7,3,1.4442821516449034,-1.5740772823627467,0.29206650539750195,0.1423415312275693,False
58,rP,21,7,3,0.8227159214768245,0.16987867759295097,0.2808378548467032,0.40804686845133903,True
60,rPT,21,7,3,0.23801417821207022,0.25905992612977147,0.24642374761361824,0.4404880881566709,True
61,rPO,21,7,3,0.3721760404038982,0.458726783230603,0.24913693215382848,0.4718044952022923,True
62,rPrT,21,7,3,-0.3075338000929238,0.5675548473550215,0.21652660529909143,0.5038658200131865,True
64,rSP,21,7,3,0.4364874268559123,0.39948981135633915,0.25457986243394143,0.4520684357871807,True
65,rTeO,21,7,3,0.6473397174426797,0.04987410259007477,0.2726382726523037,0.40873454065172765,True
66,rTh,21,7,3,0.30831383770329907,0.5319373783481689,0.2514434539357648,0.4800860402153854,True
