subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
17,11,OMR rightward,70,rVR,72,192,35,0.3223730460659671,0.3906932641943397,-0.6421821645932456,0.65198461057581
17,11,OMR rightward,71,rNX,587,192,35,0.34262081705265957,0.3831069857119948,-0.20888254392901628,0.5977555719968362
17,12,OMR leftward,0,MON,814,192,35,0.309423991051082,-0.07900037103904001,0.23480108348855763,-2.428790463927334
17,12,OMR leftward,1,Cb,2094,192,35,0.23494491022152947,0.5598288249612512,-1.1404795742079146,0.8899825585365729
17,12,OMR leftward,2,MOS1,1271,192,35,0.24063691180060082,0.5517752305990006,-1.0353748979943422,0.8481434380476394
17,12,OMR leftward,3,MOS2,373,192,35,0.24372557595767763,0.565724240224813,-0.9783417012089349,0.9206097516195298
17,12,OMR leftward,4,MOS3,1049,192,35,0.24851367952367737,0.534224075107554,-0.8899277982979032,0.7569636646077672
17,12,OMR leftward,5,MOS4,897,192,35,0.24538657901023517,0.5627794461139826,-0.947670735011259,0.9053112910718213
17,12,OMR leftward,6,MOS5,997,192,35,0.2856037003786355,0.49688192689420485,-0.20504839716621223,0.562967969252517
17,12,OMR leftward,7,IPN,99,192,35,0.3556918264716501,0.15437899093120483,1.0891518410256034,-1.2163644581091302
17,12,OMR leftward,8,IO,42,192,35,0.2530492627117568,0.5310247173911335,-0.8061767669953805,0.7403427240731975
17,12,OMR leftward,9,Hc,22,192,35,0.21814115597310701,0.3502424881651392,-1.450766408271132,-0.19883662003405383
17,12,OMR leftward,10,Ra,308,192,35,0.382573459616149,0.33029020299475914,1.5855300145899118,-0.3024904701939232
17,12,OMR leftward,11,T,1187,192,35,0.24501232546059956,0.5656522256670852,-0.954581449565672,0.9202356297526704
17,12,OMR leftward,12,aRF,360,192,35,0.23479072449488958,0.566860759142995,-1.143326664225392,0.9265140658694073
17,12,OMR leftward,13,imRF,427,192,35,0.24742712585450227,0.5608015268036669,-0.9099913682040011,0.895035828884456
17,12,OMR leftward,14,pRF,659,192,35,0.24332747488288836,0.5488886288156329,-0.9856927681376317,0.8331472916829821
17,12,OMR leftward,16,Hb,420,192,35,0.28394401291149673,0.4770034970198396,-0.23569507064760065,0.4596978037543923
17,12,OMR leftward,17,Hi,242,192,35,0.2462923291226822,0.5351122641331053,-0.9309457620862367,0.7615778835497063
17,12,OMR leftward,18,HR,65,192,35,0.2600605644050103,0.5028209399212163,-0.6767107814245705,0.5938216564939789
17,12,OMR leftward,19,OG,12,192,35,0.25251490335162885,0.33750148179915396,-0.8160438878574772,-0.26502725200769556
17,12,OMR leftward,20,OB,213,192,35,0.4330077749774968,0.13066689751698105,2.516816190897069,-1.3395508378519152
17,12,OMR leftward,21,OE,56,192,35,0.37998983374618367,-0.07102740040913356,1.5378225154356298,-2.3873701907133054
17,12,OMR leftward,22,P,859,192,35,0.31390040175196204,0.3980315600358475,0.3174594754055413,0.04943174886031832
17,12,OMR leftward,24,PT,320,192,35,0.2997582776352497,0.506388634823804,0.056320514776210154,0.6123561406240445
17,12,OMR leftward,25,PO,558,192,35,0.3248719856173845,0.47636143186708996,0.5200533703133186,0.45636221965624685
17,12,OMR leftward,26,PrT,384,192,35,0.2557078396528871,0.5459785840351098,-0.7570852717270395,0.818029356916961
17,12,OMR leftward,28,SP,804,192,35,0.35660671228915797,0.3040683625231463,1.1060455077412128,-0.43871520334857594
17,12,OMR leftward,29,TeO,7904,192,35,0.3508218506482376,0.31242535493363705,0.9992261400262015,-0.39529990371211454
17,12,OMR leftward,30,Th,764,192,35,0.33974258648247035,0.4463656176669687,0.7946438930519149,0.3005313659985238
17,12,OMR leftward,31,TL,97,192,35,0.34290203714470985,0.38397162016110065,0.8529841858741134,-0.023610856965970727
17,12,OMR leftward,32,TS,353,192,35,0.33839321168275305,0.1905552842694413,0.7697272447613533,-1.0284254798417292
17,12,OMR leftward,33,TG,25,192,35,0.29925134901135164,0.0562756494780371,0.04695991145626337,-1.7260198167978238
17,12,OMR leftward,34,VR,120,192,35,0.23851721935067305,0.5347093682868946,-1.0745157143709885,0.759484804721064
17,12,OMR leftward,35,NX,289,192,35,0.2489144179982928,0.5377486787159628,-0.8825280309163122,0.7752742857310709
17,12,OMR leftward,36,rMON,960,192,35,0.3064871874139159,-0.3484397169297801,0.18057204101567362,-3.828551210510529
17,12,OMR leftward,37,rCb,2225,192,35,0.2696415339367059,0.5182765544307821,-0.49979503632998395,0.674114912971764
17,12,OMR leftward,38,rMOS1,1381,192,35,0.25173405284808203,0.5671820064344221,-0.8304625485353406,0.9281829733817796
17,12,OMR leftward,39,rMOS2,388,192,35,0.23168548805775627,0.57058972732882,-1.2006658735979818,0.9458863786788805
17,12,OMR leftward,40,rMOS3,1340,192,35,0.33509462187164607,0.2823886801692099,0.7088177019157326,-0.5513430315416349
17,12,OMR leftward,41,rMOS4,1159,192,35,0.27960548715043265,0.5477809988274085,-0.31580737192269615,0.8273930579272198
17,12,OMR leftward,42,rMOS5,1456,192,35,0.3588569908145867,0.21500887486559137,1.1475976388360414,-0.9013869579942666
17,12,OMR leftward,43,rIPN,132,192,35,0.3094396966959904,0.4372610597404801,0.23509109337346282,0.2532323987361125
17,12,OMR leftward,44,rIO,6,192,35,0.2618945809848623,0.3223387602741744,-0.642845063694549,-0.34379890405381147
17,12,OMR leftward,45,rHc,0,192,35,,,,
17,12,OMR leftward,46,rRa,224,192,35,0.3777495016422404,0.19222139895193457,1.4964540482760962,-1.0197698697111817
17,12,OMR leftward,47,rT,1185,192,35,0.24257430403550678,0.5771658020765114,-0.9996003148850903,0.9800496567553797
17,12,OMR leftward,48,raRF,228,192,35,0.281862673070625,0.46058239829147557,-0.2741276935178355,0.3743887731087641
17,12,OMR leftward,49,rimRF,298,192,35,0.24596642793229898,0.5476599127733278,-0.9369636344668054,0.8267640053851701
17,12,OMR leftward,50,rpRF,560,192,35,0.2573823098385062,0.5578282561672091,-0.7261656304999748,0.8795894303188592
17,12,OMR leftward,52,rHb,349,192,35,0.3061643932915619,0.42776968169231505,0.17461154166542675,0.20392386742684235
17,12,OMR leftward,53,rHi,240,192,35,0.2556298446136544,0.5177806531270633,-0.758525475709934,0.6715386627332168
17,12,OMR leftward,54,rHR,62,192,35,0.26684289807267464,0.39719802317394615,-0.5514727655509745,0.045101452643696804
17,12,OMR leftward,55,rOG,23,192,35,0.24403583342625768,0.19945461853941718,-0.9726126952828212,-0.9821926672558263
17,12,OMR leftward,56,rOB,129,192,35,0.42089004119524404,0.039035967911932874,2.293058261821839,-1.8155814562089145
17,12,OMR leftward,57,rOE,84,192,35,0.46235965871330886,0.10025390516516293,3.0588083519066713,-1.4975489681527243
17,12,OMR leftward,58,rP,1036,192,35,0.3247673548074917,0.35817677929770847,0.5181213280882807,-0.1576172901599485
17,12,OMR leftward,60,rPT,350,192,35,0.3487476688524461,0.4375970687280761,0.9609256928063117,0.2549779945390609
17,12,OMR leftward,61,rPO,530,192,35,0.3042293055597034,0.4890344392550098,0.13887951196085516,0.5221995910472922
17,12,OMR leftward,62,rPrT,507,192,35,0.28730942562490364,0.49880153095661756,-0.17355162099216645,0.5729404786744948
17,12,OMR leftward,64,rSP,789,192,35,0.35474855543426964,0.3379376558783611,1.071734031914298,-0.26276128987535424
17,12,OMR leftward,65,rTeO,7951,192,35,0.36709619650480046,0.393062410181371,1.2997372744803843,0.023616584830762094
17,12,OMR leftward,66,rTh,1006,192,35,0.2845746692245362,0.49541389887618337,-0.2240497949632472,0.5553414365064642
17,12,OMR leftward,67,rTL,90,192,35,0.3144596951683996,0.4040341978323312,0.3277870117961134,0.0806159722917458
17,12,OMR leftward,68,rTS,145,192,35,0.30026623984600687,0.3200164348497339,0.06570020361654115,-0.35586358584398387
17,12,OMR leftward,69,rTG,9,192,35,0.25819158005846576,0.06044659124321553,-0.7112221904364857,-1.7043514129502702
17,12,OMR leftward,70,rVR,72,192,35,0.2784689726927415,0.524325940273314,-0.3367934841765792,0.7055419965527417
17,12,OMR leftward,71,rNX,587,192,35,0.343830395128641,0.4000749031826981,0.8701266205617875,0.06004709354691472
18,10,OMR forward,0,MON,778,192,35,0.2638478371300315,0.33922189708342076,1.2195953673581281,-1.600251228747121
18,10,OMR forward,1,Cb,1910,192,35,0.11823537677058397,0.7998688448513461,-0.2041793731806384,0.34412130147853903
18,10,OMR forward,2,MOS1,1293,192,35,0.08503011950735904,0.8386864610470417,-0.5288549292955975,0.5079689227109672
