epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.5,15,Layer 1,0.30936774641773207,0.4829971753104894,1.349023753834193,0.4815660694231884
0.5,15,Layer 4,0.7179754348702029,0.18803815210828329,0.5110645276620782,0.18748100080331673
0.5,16,Layer 1,0.18462573782094796,0.19785209085390032,0.6277337243792382,0.19726586114799402
0.5,16,Layer 4,-0.14258381907073617,0.3346091533028176,1.0543894344832339,0.3336177165952869
0.5,17,Layer 1,0.4855071473073654,0.2232092546803674,0.7111044937051619,0.22254789247205256
0.5,17,Layer 4,0.15259566817682763,0.37161016657836465,1.1697795837436287,0.37050909699792806
0.5,18,Layer 1,-0.05021044199819558,0.3062726450060632,0.9104160554153371,0.3053651685076641
0.5,18,Layer 4,0.2921270759137149,0.23322949888802064,0.7509462197497055,0.2325384470019794
0.5,19,Layer 1,0.2601630963910618,0.5206729795337316,1.3868231179098394,0.5191302413885441
0.5,19,Layer 4,0.5558128816099032,0.33092052980361675,0.960012624967497,0.3299400223749216
0.5,20,Layer 1,-0.18676931177446693,0.2769157845334133,0.846717938019522,0.2760952915164975
0.5,20,Layer 4,0.5107316463454399,0.12650995351668823,0.4251822621414267,0.1261351083860443
0.5,21,Layer 1,-0.022620279767126054,0.4683911526505856,1.3674675802378706,0.4670033239625876
0.5,21,Layer 4,0.48080394249526887,0.2566716978067811,0.7887586169932576,0.25591118740089996
0.5,22,Layer 1,0.5487968109738995,0.4166183862461545,1.1121698722969822,0.41538395868468597
0.5,22,Layer 4,0.6251400594097479,0.37121888577088513,1.00059914707096,0.37011897554353734
0.5,23,Layer 1,0.6073898670186376,0.39547708296892026,1.0942438435271762,0.3943052964437391
0.5,23,Layer 4,0.7211700519567561,0.2981115770499832,0.81566316378871,0.2972282815468272
0.5,24,Layer 1,-0.022639870225467266,0.5097614001595207,1.4443241838095782,0.5082509926909509
0.5,24,Layer 4,0.5292312004384291,0.24204170570737302,0.7656569178774821,0.24132454352151234
0.5,25,Layer 1,0.8952208751863284,0.10493310128239217,0.30049561709805805,0.10462218770630047
0.5,25,Layer 4,0.9378584690164794,0.06852486249643391,0.2051771304173421,0.06832182542052952
0.5,26,Layer 1,0.46814801465657785,0.24924918404339755,0.7673420137566601,0.24851066631923038
0.5,26,Layer 4,0.4928372382181186,0.2916622300956394,0.8907982144699623,0.2907980438106475
0.5,27,Layer 1,0.6071440222770247,0.28194767925533165,0.8542305563694109,0.2811122768879497
0.5,27,Layer 4,0.4985705232604565,0.3374819901458031,1.0322946180199277,0.33648204131039783
0.5,28,Layer 1,0.8692512586900807,0.12879376338168697,0.35938448537661016,0.1284121513921247
0.5,28,Layer 4,0.9069301892575259,0.10922771093745837,0.30635835745976125,0.1089040725640486
0.5,29,Layer 1,0.750724608052256,0.20781362679702162,0.552711756711213,0.20719788136418468
0.5,29,Layer 4,0.6436505683432103,0.35606929232321816,0.9650749958990973,0.3550142698788254
0.5,30,Layer 1,0.6778701436377874,0.3540201885328296,0.9677190381205819,0.3529712375204204
0.5,30,Layer 4,0.8791053829108785,0.12652417149008263,0.3645271701788724,0.12614928423201752
0.5,31,Layer 1,0.5707685168514798,0.41170133186659624,1.1611252936704135,0.4104814733871648
0.5,31,Layer 4,0.8230173664907674,0.15982960329019127,0.4325933788834888,0.15935603305432702
0.5,32,Layer 1,0.7432470219383603,0.2790082007764478,0.8341039338462751,0.27818150799407326
0.5,32,Layer 4,0.8474507641435096,0.17320216785790332,0.5052407810297341,0.17268897512141287
0.5,33,Layer 1,0.776964533640274,0.18085341319977835,0.4681387335367498,0.18031755005688876
0.5,33,Layer 4,0.8435652237870396,0.15560710804233266,0.4200637450386645,0.1551460489309991
0.5,34,Layer 1,-0.10151831990095155,0.42375829483880784,1.2293972200601977,0.4225027119461198
0.5,34,Layer 4,0.3693405200767154,0.207889141491749,0.6735644679633116,0.20727317231117653
0.5,35,Layer 1,0.9165234952247159,0.08676519353965566,0.22559841063434405,0.08650811091964326
0.5,35,Layer 4,0.9493615390969512,0.06639575330979815,0.16710032435093514,0.06619902471942418
0.5,36,Layer 1,0.7120716526378662,0.308166179367801,0.8841291051288621,0.3072530923848868
0.5,36,Layer 4,0.7991119162306108,0.2409558020916874,0.6956400077391874,0.24024185740509352
0.5,37,Layer 1,0.11977606537448046,0.4616625335586502,1.2681578918858065,0.4602946415636354
0.5,37,Layer 4,0.45162698374561133,0.29598296982282873,0.8347994722599293,0.2951059813179126
0.5,38,Layer 1,0.11690034010285054,0.4546840994055409,1.2899414496058914,0.45333688429790975
0.5,38,Layer 4,0.44776870497871435,0.2581778462358219,0.7609959710009321,0.25741287315811956
0.5,39,Layer 1,0.8256718742274624,0.2013998967133277,0.5785849921428863,0.2008031549669542
0.5,39,Layer 4,0.9279083075717058,0.08258578992470335,0.23423117958881123,0.08234109075002873
0.5,40,Layer 1,0.40609006780138884,0.3497163163324168,1.0022775842929974,0.34868011756196476
