target_size,endpoint_radius,endpoint_squared_threshold,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
500,13.86,192.09959999999998,OO_fraction,42,0.40568396810620655,0.007687747299079176,0.3448699058842866,0.025307478326445625
500,15.0,225.0,DCApost,42,0.3620130956822209,0.01848092805674423,0.3574264646300948,0.020134383914903922
500,15.0,225.0,OO_fraction,42,0.42143785832274844,0.00544295306744511,0.33468505044913266,0.030276216909058715
600,10.0,100.0,DCApost,42,0.2222206535220036,0.15723016032961712,0.1926099991896929,0.22168226783250897
600,10.0,100.0,OO_fraction,42,0.5263571185359466,0.0003429512009797436,0.33030584213213415,0.0326474949267117
600,11.0,121.0,DCApost,42,0.241920861736079,0.12269967779181107,0.23863544283283364,0.12802268098931044
600,11.0,121.0,OO_fraction,42,0.39504466176270464,0.009620404835901028,0.2409220589577523,0.12430001997982115
600,12.0,144.0,DCApost,42,0.25086344530033206,0.1090538809030496,0.2533830321691921,0.10542596475000776
600,12.0,144.0,OO_fraction,42,0.4287891629466536,0.004607090673174044,0.2863515660615187,0.06599235802723695
600,13.0,169.0,DCApost,42,0.259626042108855,0.09683386402492315,0.2540312778543068,0.10450763563457215
600,13.0,169.0,OO_fraction,42,0.4486681143442665,0.0028809430335210683,0.31181585146036234,0.04440550420669769
600,13.86,192.09959999999998,DCApost,42,0.283148552989596,0.06921405343920131,0.2883882991653837,0.06400635611836035
600,13.86,192.09959999999998,OO_fraction,42,0.4898770291000765,0.0009915966989024459,0.35787863523916225,0.019966049367116778
600,15.0,225.0,DCApost,42,0.3028457943922873,0.05123730794683182,0.27769224536099185,0.07498700637901876
600,15.0,225.0,OO_fraction,42,0.5101249249554305,0.0005581761705837581,0.3635553867611975,0.017951277614345826
