realization,null_type,max_relative_margin_error,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
11,strength_preserving,5.730183352904034e-16,OO_fraction,41,0.3212653492232581,0.04054691928467096,0.22530057843333434,0.1566882257397674
11,root_pair_preserving,8.815068589996882e-16,DCApost,41,0.15599375939472954,0.33008777875011425,0.09111498257839724,0.571014026451105
11,root_pair_preserving,8.815068589996882e-16,OO_fraction,41,0.4469817151933977,0.0033915926822622668,0.3213103376883747,0.04051724182959473
12,strength_preserving,6.82227624396008e-16,DCApost,41,0.016875612614390374,0.9165961595925726,0.10975609756097562,0.494533297431324
12,strength_preserving,6.82227624396008e-16,OO_fraction,41,0.27466235803640043,0.08222706304222481,0.21220583479053243,0.18286412173027283
12,root_pair_preserving,7.102566216424952e-16,DCApost,41,0.15738666199532958,0.32573379248276135,0.07491289198606273,0.6415752728249815
12,root_pair_preserving,7.102566216424952e-16,OO_fraction,41,0.58241161447385,6.471637354491357e-05,0.42632971738936054,0.005445320573112368
13,strength_preserving,6.408747292987354e-16,DCApost,41,-0.16195042831271383,0.31172101812961756,-0.23658536585365858,0.1364158586152793
13,strength_preserving,6.408747292987354e-16,OO_fraction,41,0.29750499821470205,0.05888193718762056,0.19389980054203368,0.22446613939933882
13,root_pair_preserving,9.02836284177122e-16,DCApost,41,0.10951817421034644,0.4954751092939192,0.036062717770034856,0.8228773884322806
13,root_pair_preserving,9.02836284177122e-16,OO_fraction,41,0.4921366648759778,0.00108215105203232,0.35267468735426816,0.023722202399813572
14,strength_preserving,8.415889901316785e-16,DCApost,41,-0.023883134222862423,0.8821704252372314,-0.07804878048780489,0.6276465897923017
14,strength_preserving,8.415889901316785e-16,OO_fraction,41,0.27026648863989333,0.08745110449232586,0.15420805252397593,0.3357222974549551
14,root_pair_preserving,7.821034862641658e-16,DCApost,41,0.17023250324385084,0.28728267812318503,0.07195121951219514,0.6548424906673422
14,root_pair_preserving,7.821034862641658e-16,OO_fraction,41,0.4588326836984382,0.00255035036909193,0.33237475922126586,0.03373729053663616
15,strength_preserving,6.496777439892339e-16,DCApost,41,0.21572379996907776,0.17554471719807785,0.1618466898954704,0.31203523330512156
15,strength_preserving,6.496777439892339e-16,OO_fraction,41,0.2848578198658131,0.07104683231037914,0.21760350649593624,0.1717210630315257
15,root_pair_preserving,6.128051084950498e-16,DCApost,41,0.16068123208335722,0.3155790879331898,0.051567944250871085,0.7488184942066445
15,root_pair_preserving,6.128051084950498e-16,OO_fraction,41,0.49939185587862056,0.0008873846769604286,0.3793343845702775,0.014444931181233248
16,strength_preserving,9.20318025215304e-16,DCApost,41,-0.24220422200618197,0.1270792809510666,-0.15783972125435544,0.3243253741235267
16,strength_preserving,9.20318025215304e-16,OO_fraction,41,0.24266366731118327,0.1263375296696262,0.17039069662053055,0.28682833621806053
16,root_pair_preserving,7.376586549023015e-16,DCApost,41,0.1698443747589548,0.2883993851816423,0.12717770034843207,0.42814126334743463
16,root_pair_preserving,7.376586549023015e-16,OO_fraction,41,0.47368776954077146,0.0017583786653515376,0.3367045743471801,0.031351682997206184
17,strength_preserving,7.078502779158792e-16,DCApost,41,-0.06480296450231895,0.6872919515250343,-0.12125435540069689,0.4501355633876156
17,strength_preserving,7.078502779158792e-16,OO_fraction,41,0.3503456102633622,0.024727408363342272,0.27393210062113926,0.08307763593934273
17,root_pair_preserving,6.689920572070087e-16,DCApost,41,0.1014588384032344,0.5279131211271387,0.02717770034843206,0.8660550183471097
17,root_pair_preserving,6.689920572070087e-16,OO_fraction,41,0.5321414284030951,0.00034234399359365126,0.4336383853919819,0.004620483753490173
18,strength_preserving,7.462214487798886e-16,DCApost,41,-0.1547865162282003,0.3338905677907494,-0.1874564459930314,0.24054479036073056
18,strength_preserving,7.462214487798886e-16,OO_fraction,41,0.35427880801895917,0.02304987598479638,0.2711273782229453,0.08640827686503222
18,root_pair_preserving,6.851345478173616e-16,DCApost,41,0.1203944298149572,0.45337891203319997,0.008362369337979096,0.9586161564772357
18,root_pair_preserving,6.851345478173616e-16,OO_fraction,41,0.5294542566704493,0.000371532367726789,0.4012200816609093,0.00932609511862555
19,strength_preserving,5.459971194794706e-16,DCApost,41,0.16001184859833484,0.3176259467116795,0.12003484320557495,0.4547388989890372
19,strength_preserving,5.459971194794706e-16,OO_fraction,41,0.3650912129156319,0.018920540815904687,0.265899986611963,0.09289137932971026
19,root_pair_preserving,9.152915482451474e-16,DCApost,41,0.1237088161937078,0.44094802855686677,0.04703832752613241,0.7702564655090929
19,root_pair_preserving,9.152915482451474e-16,OO_fraction,41,0.5080390435801029,0.0006964529488663729,0.3812510948276377,0.013917484682173452
20,strength_preserving,6.647612789085121e-16,DCApost,41,0.0017278164842153502,0.9914458207062061,-0.03623693379790941,0.8220354691493817
20,strength_preserving,6.647612789085121e-16,OO_fraction,41,0.3100280703018566,0.04853390599446233,0.23557114445522537,0.1381539667591069
20,root_pair_preserving,6.464070375074117e-16,DCApost,41,0.11172898249137911,0.4867592702160346,0.05731707317073171,0.721877009021699
20,root_pair_preserving,6.464070375074117e-16,OO_fraction,41,0.4563170441082815,0.0027117263835997395,0.3227887016663788,0.03955181258817841
21,strength_preserving,6.51909113357533e-16,DCApost,41,0.07586861883935261,0.637317074992817,0.064808362369338,0.6872672287628555
