recording_id,root_area_id,EdgeStdFCV,FCS,Subject,FU_DCApost,Hard_OO_fraction,Reciprocity,LogOutIn
subject_15,29,0.3243839990117129,0.1568963627775888,15,-0.0306182255494799,0.3039368282518096,0.6568563281421365,-0.2613530071216783
subject_15,30,0.3496852463105626,0.2830600563269253,15,-0.0105712666857372,0.367049481389514,0.6414021882517266,-0.1084531452093773
subject_15,32,0.3261343407689206,0.1590099603092285,15,-0.016713777182985,0.52,0.1806451612903225,0.3244316146605224
subject_15,35,0.3579118825275899,0.3201261194519954,15,0.0187466230674112,0.0,0.7666064092029581,-1.5057613334619266
subject_15,36,0.3330509956701145,0.0613762422940998,15,0.0217406209849607,0.6630916719696617,0.200432517448147,1.411483765275023
subject_15,37,0.3551431987467416,0.299167360012093,15,0.0282355925182764,0.1930338261327209,0.6381704224678245,-0.1637931637252272
subject_15,38,0.3802216609782707,0.3379332373827191,15,-0.0233168709025229,0.3574118822306519,0.6917028595552294,0.1059814103662864
subject_15,39,0.3668303431340687,0.341500746429304,15,0.0175025638123603,0.0,0.6650010344892444,-0.3346479134566634
subject_15,40,0.3792430558668844,0.341779297916789,15,-0.0479967861610817,0.3728840242188639,0.6862945536942794,0.2605884715593577
subject_15,41,0.3565449239792839,0.3573089211758462,15,-0.0136951384120165,0.4859534035418015,0.5690651291404365,0.4002206191085914
subject_15,42,0.3486505327522008,0.3048541367030138,15,0.0029081024217761,0.3578652621225222,0.4644646629702195,0.315654586823241
subject_15,46,0.3649866848095901,0.3089147504102613,15,0.0210727439981103,0.0,0.9186723362093878,-0.8656436214130283
subject_15,47,0.3503401831791407,0.4051202975272604,15,-0.0732465636863513,0.3740246207892347,0.5425802706202831,0.1830661118971326
subject_15,48,0.3580092772001262,0.375753370408701,15,-0.0284185076667036,0.0,0.9761956715796156,-1.7967260883912033
subject_15,49,0.3444736716635008,0.3601892112430455,15,-0.0330973052684732,0.0,0.6785673077506998,-0.0257067691573977
subject_15,50,0.3867762065794385,0.279271867018676,15,0.0086865046839868,0.0,0.8642988279252068,-0.8436007763143956
subject_15,52,0.3490928544400546,0.1130849864855322,15,0.0277330446415351,0.0,0.1515151515151515,-0.2261241794523475
subject_15,58,0.3795302270504632,0.2437463431356288,15,0.0072234125820633,0.66868015705225,0.3050437934158864,-0.2847837753765085
subject_15,60,0.380175306611535,0.2834092926198439,15,-0.0170463594340497,0.0,0.6347491592573824,-0.3781539986493701
subject_15,61,0.3953217426760933,0.2640221780491214,15,-0.0105290197224737,0.5043754365910967,0.3489934590715692,0.8017643650842864
subject_15,62,0.3653906386874059,0.3411451050995661,15,0.0139539904880185,0.6040392317278513,0.6283830706152075,0.1850535959187737
subject_15,64,0.4073196519108693,0.256225714212102,15,0.0120722832002789,0.6844570854943952,0.096313646757013,1.7678451663299175
subject_15,65,0.3528283064703968,0.202688750091607,15,-0.0238470791550215,0.3339039378876649,0.5586331991577017,0.0775812813258733
subject_15,66,0.3652234364108693,0.2252555286298371,15,0.0023999647390384,0.5143617906473623,0.6161369057524824,0.0769166644893314
subject_15,71,0.3637088128303797,0.330889659944928,15,0.018818750223565,0.563394182305832,0.3662088553713093,0.5099771683807429
subject_16,0,0.3211974695251583,0.0921001512610505,16,-0.0070018761745925,0.4784430918660856,0.1532465691407875,1.813119847927747
subject_16,1,0.3200494311509148,0.2025489309219703,16,-0.0011498314789777,0.4396839691633614,0.3515725961835295,0.9173653943882024
subject_16,2,0.3453306619046634,0.1847540276913234,16,-0.013242303742291,0.2312927509320312,0.7217403265046466,-0.1845294349657001
subject_16,3,0.3426766515275863,0.2097696346265381,16,-0.016862882352265,0.0,0.7459146903544792,-0.7432377365421984
subject_16,4,0.3538241923332418,0.1998369706878129,16,-0.0300213855516303,0.2937529310038135,0.5837484696949663,0.4097395803082213
subject_16,5,0.3320119638248344,0.2410195697241852,16,-0.0142530942980454,0.2903816738373982,0.4261641927074455,0.6321782204844488
subject_16,6,0.3419842120320762,0.1866588241581657,16,-0.0114166246137295,0.3439662438476186,0.4068558079520504,0.693269454915133
subject_16,10,0.3240410619772076,0.1292319787230362,16,0.0107781670672733,0.0,0.6511663511858368,-0.9417159816500094
subject_16,11,0.333437855214386,0.2354640584064882,16,-0.0552127460286033,0.2962193346579843,0.5279123467962464,0.4852110740148564
subject_16,16,0.3170216947858006,0.0743945370788376,16,0.0059600807963298,0.0,0.7681524289065629,-0.2451224580329849
subject_16,22,0.3603068670108655,0.0779528522799672,16,-0.0014425068089946,0.6201121532929313,0.3252948424573138,0.7074309669453833
subject_16,24,0.3063272937263027,0.2012339415652949,16,-0.0018026989709613,0.0,0.4955087541233189,-0.4814387406210015
subject_16,25,0.3564723021141808,0.1155491077865747,16,0.0093259946858558,0.4954801064215745,0.3983099528358931,0.7176773042738344
subject_16,26,0.3171757527473939,0.244635539991262,16,-0.0099997766761823,0.0,0.8672893452771102,-0.909667114441027
subject_16,28,0.376310296795239,0.0537636224853827,16,-0.0048910498611672,0.6438573497965097,0.2108712147340829,1.144915549127124
subject_16,29,0.3210780881403574,0.1622814264675385,16,-0.0217586035775944,0.1668660420213445,0.7237193465544889,-0.1629168449699953
subject_16,30,0.3146487201642032,0.1696361156149672,16,-0.0013399695203756,0.0,0.6167139051880219,-0.1908542975412012
subject_16,32,0.3139079550468565,0.1338617240699901,16,-0.0508479845983962,0.0,0.4840401102265768,-0.1807320205845988
subject_16,35,0.3358587069984093,0.2246304782406065,16,-0.0274597784513471,0.0,0.6394216217703547,-0.4273148044992655
subject_16,36,0.3155253187430635,0.0754983968636192,16,0.0061029702797646,0.5063524549966325,0.3521476725101842,0.8948782074216648
subject_16,37,0.3205631958222046,0.2180917913223505,16,0.0175037447806698,0.49899251277918,0.555896981780389,0.3591167170083842
subject_16,38,0.344993553394576,0.2144488829070444,16,-0.0102291722713177,0.1504207626989682,0.7183121810674539,-0.1707265388090735
subject_16,39,0.3296920566762074,0.2357769022615806,16,-0.0174969556793183,0.0,0.8301210127775558,-1.4322314353956271
subject_16,40,0.343791328799206,0.2195460122116885,16,-0.0421751052915562,0.3174221014133608,0.5234163845304939,0.4797032770962424
subject_16,41,0.3256824685113781,0.2120357915466472,16,-0.0290216214113389,0.2585236769260916,0.5873346517827884,0.1919328725332837
subject_16,42,0.3298046412432037,0.1465278387018989,16,-0.0199952306229891,0.2324992149548869,0.5182925046308127,0.1871101402449688
subject_16,46,0.3044324842183645,0.1177526195894017,16,0.0130000351375432,0.0,0.6829549580334451,-0.7807118955170727
subject_16,47,0.3357231979509497,0.2527220075216956,16,-0.0435454011922724,0.0672786184410787,0.5893575859246583,0.2084223878584805
subject_16,48,0.2994674448912391,0.2398915719890155,16,-0.0199960902524888,0.0,0.6342434441876821,-0.9135919600252344
subject_16,49,0.3459529499904364,0.2402724477140378,16,-0.0187577506870602,0.0,0.7502128961314912,-0.6245038553749048
subject_16,50,0.3569719228630323,0.1718752284022262,16,-0.0234650723702675,0.0,0.8367943890495968,-1.547438719954499
subject_16,52,0.3488931920143863,0.0549470261966122,16,-0.0022917196457211,0.4521896571234582,0.6563313341631776,-0.5952765860653498
subject_16,58,0.3622920162318411,0.0811070599757843,16,0.0007661665919577,0.636543131425459,0.2752422667544198,0.8852660298091085
subject_16,60,0.3447401521940869,0.2249062358396405,16,-0.0114417491141269,0.0,0.5925650131744759,-0.9518455066327988
subject_16,61,0.3701560510177108,0.1439073000194048,16,0.0048920638263845,0.4830353572856571,0.1006168960987033,2.150660425747003
subject_16,62,0.3331751927983113,0.2308198906847217,16,-0.0170499053382341,0.0,0.6233928869594256,-0.1396553111613789
