recording_id,surrogate,mean_abs_NetTE,extreme_pair_fraction
subject_12,86,0.01151412632316351,0.059801678108314264
subject_12,87,0.011347835883498192,0.05736079328756674
subject_12,88,0.011461116373538971,0.060717009916094584
subject_12,89,0.011543749831616879,0.06178489702517163
subject_12,90,0.011341452598571777,0.05964912280701754
subject_12,91,0.011115952394902706,0.05110602593440122
subject_12,92,0.011337595991790295,0.059038901601830666
subject_12,93,0.011513683944940567,0.057513348588863464
subject_12,94,0.011354777961969376,0.05736079328756674
subject_12,95,0.011494668200612068,0.05827612509534706
subject_12,96,0.01168152131140232,0.06483600305110603
subject_12,97,0.011342300102114677,0.06056445461479786
subject_12,98,0.011476150713860989,0.06041189931350115
subject_12,99,0.01165954302996397,0.06636155606407322
subject_12,100,0.011321325786411762,0.05339435545385202
subject_12,101,0.011270204558968544,0.056292906178489706
subject_12,102,0.011545439250767231,0.056140350877192984
subject_12,103,0.01136955339461565,0.059496567505720827
subject_12,104,0.0115593196824193,0.06132723112128147
subject_12,105,0.011511605232954025,0.06086956521739131
subject_12,106,0.01139073260128498,0.059496567505720827
subject_12,107,0.011330826207995415,0.060717009916094584
subject_12,108,0.01149353664368391,0.06102212051868802
subject_12,109,0.011640088632702827,0.06331045003813883
subject_12,110,0.011400007642805576,0.0601067887109077
subject_12,111,0.011308732442557812,0.056292906178489706
subject_12,112,0.011277373880147934,0.057208237986270026
subject_12,113,0.011503336951136589,0.060259344012204424
subject_12,114,0.011243765242397785,0.05964912280701754
subject_12,115,0.01128005888313055,0.05537757437070938
subject_12,116,0.011339942924678326,0.05598779557589626
subject_12,117,0.011249777860939503,0.05995423340961099
subject_12,118,0.011587345041334629,0.06147978642257818
subject_12,119,0.011391110718250275,0.060717009916094584
subject_12,120,0.01140734925866127,0.06224256292906179
subject_12,121,0.01144650112837553,0.061632341723874905
subject_12,122,0.011247871443629265,0.061174675819984745
subject_12,123,0.011356550268828869,0.05522501906941266
subject_12,124,0.011346796527504921,0.058581235697940506
subject_12,125,0.011553284712135792,0.06254767353165523
subject_12,126,0.01131709385663271,0.058428680396643784
subject_12,127,0.011284442618489265,0.05644546147978642
subject_12,128,0.011392132379114628,0.06132723112128147
subject_12,129,0.011488473042845726,0.06147978642257818
subject_12,130,0.01142927072942257,0.06315789473684211
subject_12,131,0.011687150225043297,0.05919145690312738
subject_12,132,0.011285677552223206,0.055835240274599546
subject_12,133,0.011215931735932827,0.0578184591914569
subject_12,134,0.011593464761972427,0.06666666666666667
subject_12,135,0.011476566083729267,0.058123569794050346
subject_12,136,0.01124156080186367,0.05339435545385202
subject_12,137,0.011419021524488926,0.0540045766590389
subject_12,138,0.011428846046328545,0.059038901601830666
subject_12,139,0.01126743946224451,0.05461479786422578
subject_12,140,0.01142521295696497,0.06132723112128147
subject_12,141,0.011371897533535957,0.05339435545385202
subject_12,142,0.011365826241672039,0.059801678108314264
subject_12,143,0.011416411958634853,0.06285278413424866
subject_12,144,0.01122773252427578,0.06056445461479786
subject_12,145,0.011314097791910172,0.059038901601830666
subject_12,146,0.01157472189515829,0.058886346300533944
subject_12,147,0.01141337864100933,0.057971014492753624
subject_12,148,0.011336150579154491,0.05690312738367658
subject_12,149,0.011356036178767681,0.06102212051868802
subject_12,150,0.011511918157339096,0.060717009916094584
subject_12,151,0.011284265667200089,0.05278413424866514
subject_12,152,0.011302675120532513,0.06056445461479786
subject_12,153,0.011299267411231995,0.057971014492753624
subject_12,154,0.011171212419867516,0.05522501906941266
subject_12,155,0.011453467421233654,0.057971014492753624
subject_12,156,0.011140472255647182,0.05278413424866514
subject_12,157,0.011358596384525299,0.057971014492753624
subject_12,158,0.011511734686791897,0.057055682684973304
subject_12,159,0.011242317035794258,0.05964912280701754
subject_12,160,0.011196165345609188,0.057055682684973304
subject_12,161,0.011228017508983612,0.056598016781083144
subject_12,162,0.011643541976809502,0.06132723112128147
subject_12,163,0.01157302875071764,0.06361556064073226
subject_12,164,0.011160292662680149,0.05919145690312738
subject_12,165,0.011217472143471241,0.057055682684973304
subject_12,166,0.011346027255058289,0.059496567505720827
subject_12,167,0.011338322423398495,0.06346300533943555
subject_12,168,0.011400884948670864,0.058428680396643784
subject_12,169,0.01111080963164568,0.056140350877192984
subject_12,170,0.011547887697815895,0.06315789473684211
subject_12,171,0.011458202265202999,0.057055682684973304
subject_12,172,0.01148824580013752,0.059344012204424104
subject_12,173,0.011490517295897007,0.0578184591914569
subject_12,174,0.011416812427341938,0.06254767353165523
subject_12,175,0.011471403762698174,0.05827612509534706
subject_12,176,0.0113975265994668,0.057208237986270026
subject_12,177,0.01128620095551014,0.057971014492753624
subject_12,178,0.011469812132418156,0.058428680396643784
subject_12,179,0.01164209097623825,0.06254767353165523
subject_12,180,0.011378332041203976,0.05827612509534706
subject_12,181,0.011236141435801983,0.05461479786422578
subject_12,182,0.011248798109591007,0.06178489702517163
subject_12,183,0.011535258032381535,0.06132723112128147
subject_12,184,0.0114609245210886,0.06285278413424866
subject_12,185,0.011482144705951214,0.061174675819984745
subject_12,186,0.01147373951971531,0.058123569794050346
subject_12,187,0.011395592242479324,0.056750572082379866
subject_12,188,0.01155439019203186,0.05415713196033562
subject_12,189,0.011485054157674313,0.061632341723874905
subject_12,190,0.011427981778979301,0.06270022883295194
subject_12,191,0.011283507570624352,0.056292906178489706
subject_12,192,0.0113536287099123,0.059496567505720827
subject_12,193,0.011316439136862755,0.05964912280701754
subject_12,194,0.011297731660306454,0.05568268497330282
subject_12,195,0.011249059811234474,0.05598779557589626
subject_12,196,0.011322873644530773,0.06147978642257818
