recording_id,root_area_id,node,NetTE,n_functional_units,legacy_order,anatomy_group
subject_15,64,rSP,0.017929840723261127,1,35,Tel
subject_15,65,rTeO,-0.004860812046323816,10,38,Mes
subject_15,66,rTh,-0.004118523578642068,2,39,Di
subject_15,68,rTS,-0.031127366537475953,1,37,Mes
subject_15,71,rNX,0.004839343430513394,1,29,Hind
subject_16,0,MON,0.0007512564068892336,2,4,Hind
subject_16,1,Cb,0.0010617699834153012,4,2,Hind
subject_16,2,MOS1,0.0019909361212328155,3,5,Hind
subject_16,3,MOS2,-5.273019551167724e-05,1,6,Hind
subject_16,4,MOS3,0.0017278603221051042,3,7,Hind
subject_16,5,MOS4,-0.00041760297386906443,2,8,Hind
subject_16,6,MOS5,0.0030786778051154406,2,9,Hind
subject_16,10,Ra,-0.002066493493922985,1,15,Hind
subject_16,11,T,-0.004050692149978288,2,17,Mes
subject_16,16,Hb,-0.00035774177575253655,1,3,Di
subject_16,20,OB,0.006267801738121668,1,1,Tel
subject_16,22,P,0.005930620471400892,1,11,Tel
subject_16,24,PT,-0.004294205910990708,1,13,Di
subject_16,25,PO,0.0004941066472647597,1,12,Tel
subject_16,26,PrT,-0.008520402608692707,1,14,Di
subject_16,28,SP,0.008027472185234062,1,16,Tel
subject_16,29,TeO,-0.002021385583071649,15,19,Mes
subject_16,30,Th,-0.0010408948623450097,2,20,Di
subject_16,32,TS,-0.00203053599253512,1,18,Mes
subject_16,35,NX,0.0013835795227993023,1,10,Hind
subject_16,36,rMON,-0.0008449870422081163,2,23,Hind
subject_16,37,rCb,-0.002147869661579066,4,21,Hind
subject_16,38,rMOS1,0.004186262539280502,3,24,Hind
subject_16,39,rMOS2,-0.0006366341779798284,1,25,Hind
subject_16,40,rMOS3,0.005263365881145021,3,26,Hind
subject_16,41,rMOS4,0.000858274595781465,3,27,Hind
subject_16,42,rMOS5,0.0005760600256270231,4,28,Hind
subject_16,46,rRa,0.0011101722643388592,1,34,Hind
subject_16,47,rT,-0.002039302073546284,2,36,Mes
subject_16,48,raRF,-0.006804545088547681,1,40,Hind
subject_16,49,rimRF,0.004043739518964895,1,41,Hind
subject_16,50,rpRF,0.005387499380721879,1,42,Hind
subject_16,52,rHb,0.001421589325873152,1,22,Di
subject_16,58,rP,0.0005744522518040266,1,30,Tel
subject_16,60,rPT,0.00668021508899439,1,32,Di
subject_16,61,rPO,0.007321519779073883,1,31,Tel
subject_16,62,rPrT,-0.0076657877840162775,1,33,Di
subject_16,64,rSP,0.007531123166692652,1,35,Tel
subject_16,65,rTeO,0.00015263303744669996,15,38,Mes
subject_16,66,rTh,0.002481898037445593,2,39,Di
subject_16,68,rTS,-0.004597794125475671,1,37,Mes
subject_16,71,rNX,0.0008109229627153716,1,29,Hind
