analysis,parameter,measure,n_regions,pearson_r,pearson_p,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,retained_edge_fraction
soft_oo,0.5,soft_OO,42,0.3103047377011632,0.04550155793807336,0.08310269842915947,0.5354362795780576,0.04509549045095491,
soft_oo,1.0,soft_OO,42,0.33274126707975943,0.03131055829611233,0.11423253268699152,0.5414114607593451,0.031196880311968805,
primary_decomposition,0.0,OO,42,0.4003253609504151,0.008614619561931212,0.0396979955612602,0.6809289577989937,0.0093990600939906,
primary_decomposition,0.0,source_positive,42,0.2923965127060592,0.060236751577760095,-0.05008586832655349,0.5811089606566017,0.06329367063293671,
primary_decomposition,0.0,target_positive,42,0.48100141190644263,0.0012618117912316148,0.16118570865937823,0.679486774393571,0.0012998700129987,
primary_decomposition,0.0,conditional_target_positive,37,0.27786912989999624,0.09587797873901363,-0.07633471241481045,0.5717468171688179,0.0943905609439056,
primary_decomposition,0.0,OO_minus_independence,42,0.058922383970511784,0.7108915369191482,-0.129518366429706,0.2495013348132106,0.7167283271672833,
primary_partial,0.0,OO_controlling_source_positive,42,0.37197676868031293,0.015279481909732854,0.04794744103352903,0.6182369785858389,0.0156984301569843,
primary_partial,0.0,OO_controlling_target_positive,42,0.41078983805616304,0.006885870810979507,0.11321666167510192,0.6507904366768246,0.006999300069993001,
primary_partial,0.0,OO_controlling_source_and_target_positive,42,-0.10298091470008594,0.5163509538567355,-0.4082634515277735,0.22686650693089874,0.5158484151584841,
