epsilon,run,layer,energy_well_width,delta_u,n_dynamic_fc_windows
0.05,40,Layer 3,1.0179151308947703,2.0,169
0.05,41,Layer 3,0.12464266908915544,2.0,169
0.05,42,Layer 3,0.7478560145349333,2.0,169
0.05,43,Layer 3,0.1661902254522074,2.0,169
0.05,44,Layer 3,0.6647609018088296,2.0,169
0.05,45,Layer 3,0.14541644727068148,2.0,169
0.05,46,Layer 3,0.14541644727068137,2.0,169
0.05,47,Layer 3,0.1661902254522074,2.0,169
0.05,48,Layer 3,0.6647609018088296,2.0,169
0.05,49,Layer 3,0.4777968981750962,2.0,169
0.05,0,Layer 4,0.5745336054534725,2.0,169
0.05,1,Layer 4,0.1675723015905961,2.0,169
0.05,2,Layer 4,0.4069613038628763,2.0,169
0.05,3,Layer 4,0.7899837074985246,2.0,169
0.05,4,Layer 4,0.2154501020450521,2.0,169
0.05,5,Layer 4,1.173006111134173,2.0,169
0.05,6,Layer 4,0.6702892063623845,2.0,169
0.05,7,Layer 4,0.3830224036356483,2.0,169
0.05,8,Layer 4,0.3351446031811923,2.0,169
0.05,9,Layer 4,0.21545010204505222,2.0,169
0.05,10,Layer 4,0.8857393084074368,2.0,169
0.05,11,Layer 4,0.16757230159059622,2.0,169
0.05,12,Layer 4,0.21545010204505222,2.0,169
0.05,13,Layer 4,0.6463503061351565,2.0,169
0.05,14,Layer 4,0.3830224036356483,2.0,169
0.05,15,Layer 4,0.16757230159059622,2.0,169
0.05,16,Layer 4,0.3351446031811923,2.0,169
0.05,17,Layer 4,1.149067210906945,2.0,169
0.05,18,Layer 4,1.4363340136336813,2.0,169
0.05,19,Layer 4,0.23938900227228022,2.0,169
0.05,20,Layer 4,0.19151120181782422,2.0,169
0.05,21,Layer 4,0.2154501020450521,2.0,169
0.05,22,Layer 4,0.23938900227228022,2.0,169
0.05,23,Layer 4,0.23938900227228022,2.0,169
0.05,24,Layer 4,0.19151120181782422,2.0,169
0.05,25,Layer 4,0.8378615079529808,2.0,169
0.05,26,Layer 4,1.244822811815857,2.0,169
0.05,27,Layer 4,0.3830224036356483,2.0,169
0.05,28,Layer 4,0.45483910431733243,2.0,169
0.05,29,Layer 4,0.5266558049990164,2.0,169
0.05,30,Layer 4,0.2872668027267362,2.0,169
0.05,31,Layer 4,0.5984725056807005,2.0,169
0.05,32,Layer 4,0.11969450113614011,2.0,169
0.05,33,Layer 4,0.14363340136336822,2.0,169
0.05,34,Layer 4,0.11969450113614011,2.0,169
0.05,35,Layer 4,0.19151120181782422,2.0,169
0.05,36,Layer 4,0.9814949093163488,2.0,169
0.05,37,Layer 4,0.16757230159059622,2.0,169
0.05,38,Layer 4,1.125128310679717,2.0,169
0.05,39,Layer 4,0.14363340136336822,2.0,169
0.05,40,Layer 4,1.196945011361401,2.0,169
0.05,41,Layer 4,0.11969450113614011,2.0,169
0.05,42,Layer 4,0.8857393084074368,2.0,169
0.05,43,Layer 4,0.2872668027267362,2.0,169
0.05,44,Layer 4,0.5984725056807005,2.0,169
0.05,45,Layer 4,0.19151120181782433,2.0,169
0.05,46,Layer 4,0.19151120181782422,2.0,169
0.05,47,Layer 4,0.14363340136336822,2.0,169
0.05,48,Layer 4,0.7899837074985248,2.0,169
0.05,49,Layer 4,0.5027169047717884,2.0,169
0.1,0,Layer 1,0.25153649417641444,2.0,169
0.1,1,Layer 1,0.4276120400999046,2.0,169
0.1,2,Layer 1,0.6791485342763193,2.0,169
0.1,3,Layer 1,0.20122919534113137,2.0,169
0.1,4,Layer 1,1.0312996261232994,2.0,169
0.1,5,Layer 1,0.37730474126462166,2.0,169
0.1,6,Layer 1,0.37730474126462177,2.0,169
0.1,7,Layer 1,1.282836120299714,2.0,169
0.1,8,Layer 1,0.15092189650584853,2.0,169
0.1,9,Layer 1,0.7294558331116021,2.0,169
0.1,10,Layer 1,0.20122919534113148,2.0,169
0.1,11,Layer 1,0.5030729883528289,2.0,169
0.1,12,Layer 1,0.27669014359405586,2.0,169
0.1,13,Layer 1,0.20122919534113137,2.0,169
0.1,14,Layer 1,0.27669014359405586,2.0,169
0.1,15,Layer 1,0.3521510918469801,2.0,169
0.1,16,Layer 1,0.27669014359405586,2.0,169
0.1,17,Layer 1,0.25153649417641444,2.0,169
0.1,18,Layer 1,0.15092189650584853,2.0,169
0.1,19,Layer 1,0.25153649417641444,2.0,169
0.1,20,Layer 1,0.2263828447587728,2.0,169
