Subject,RegionID,node,threshold_type,threshold_value,measure,value
12,56,rOB,dca_sd,-0.5,OO_minus_independence,
12,57,rOE,dca_sd,-0.5,OO_minus_independence,
12,58,rP,dca_sd,-0.5,OO_minus_independence,0.0
12,59,rPi,dca_sd,-0.5,OO_minus_independence,
12,60,rPT,dca_sd,-0.5,OO_minus_independence,0.0
12,61,rPO,dca_sd,-0.5,OO_minus_independence,0.0
12,62,rPrT,dca_sd,-0.5,OO_minus_independence,0.0
12,63,rR,dca_sd,-0.5,OO_minus_independence,
12,64,rSP,dca_sd,-0.5,OO_minus_independence,0.0
12,65,rTeO,dca_sd,-0.5,OO_minus_independence,0.0
12,66,rTh,dca_sd,-0.5,OO_minus_independence,0.0
12,67,rTL,dca_sd,-0.5,OO_minus_independence,0.0
12,68,rTS,dca_sd,-0.5,OO_minus_independence,
12,69,rTG,dca_sd,-0.5,OO_minus_independence,
12,70,rVR,dca_sd,-0.5,OO_minus_independence,0.0
12,71,rNX,dca_sd,-0.5,OO_minus_independence,0.0
12,0,MON,dca_sd,-0.35,OO,0.7370859686625383
12,1,Cb,dca_sd,-0.35,OO,0.4647445033310949
12,2,MOS1,dca_sd,-0.35,OO,0.16860884284030392
12,3,MOS2,dca_sd,-0.35,OO,0.0
12,4,MOS3,dca_sd,-0.35,OO,0.40277067429970304
12,5,MOS4,dca_sd,-0.35,OO,0.49980525015476496
12,6,MOS5,dca_sd,-0.35,OO,0.656178638300282
12,7,IPN,dca_sd,-0.35,OO,0.6666666666666666
12,8,IO,dca_sd,-0.35,OO,
12,9,Hc,dca_sd,-0.35,OO,
12,10,Ra,dca_sd,-0.35,OO,0.0
12,11,T,dca_sd,-0.35,OO,0.40758803700781754
12,12,aRF,dca_sd,-0.35,OO,0.0
12,13,imRF,dca_sd,-0.35,OO,0.0
12,14,pRF,dca_sd,-0.35,OO,0.0
12,15,GG,dca_sd,-0.35,OO,
12,16,Hb,dca_sd,-0.35,OO,0.838332071515928
12,17,Hi,dca_sd,-0.35,OO,1.0
12,18,HR,dca_sd,-0.35,OO,
12,19,OG,dca_sd,-0.35,OO,
12,20,OB,dca_sd,-0.35,OO,1.0
12,21,OE,dca_sd,-0.35,OO,1.0
12,22,P,dca_sd,-0.35,OO,0.6927890345649583
12,23,Pi,dca_sd,-0.35,OO,
12,24,PT,dca_sd,-0.35,OO,0.6023851154449675
12,25,PO,dca_sd,-0.35,OO,0.5641262240843268
12,26,PrT,dca_sd,-0.35,OO,0.0
12,27,R,dca_sd,-0.35,OO,
12,28,SP,dca_sd,-0.35,OO,0.6257438098281818
12,29,TeO,dca_sd,-0.35,OO,0.36159417564486823
12,30,Th,dca_sd,-0.35,OO,0.39762769395546865
12,31,TL,dca_sd,-0.35,OO,0.7723577235772358
12,32,TS,dca_sd,-0.35,OO,0.6132888518209619
12,33,TG,dca_sd,-0.35,OO,
12,34,VR,dca_sd,-0.35,OO,0.8981151299032094
12,35,NX,dca_sd,-0.35,OO,0.0
12,36,rMON,dca_sd,-0.35,OO,0.6235791444217509
12,37,rCb,dca_sd,-0.35,OO,0.5229709690940969
12,38,rMOS1,dca_sd,-0.35,OO,0.25796967282056754
12,39,rMOS2,dca_sd,-0.35,OO,0.0
12,40,rMOS3,dca_sd,-0.35,OO,0.291980403305937
12,41,rMOS4,dca_sd,-0.35,OO,0.44791731502428017
12,42,rMOS5,dca_sd,-0.35,OO,0.5807092779028157
12,43,rIPN,dca_sd,-0.35,OO,
12,44,rIO,dca_sd,-0.35,OO,
12,45,rHc,dca_sd,-0.35,OO,
12,46,rRa,dca_sd,-0.35,OO,0.0
12,47,rT,dca_sd,-0.35,OO,0.10020812752366612
12,48,raRF,dca_sd,-0.35,OO,0.0
12,49,rimRF,dca_sd,-0.35,OO,0.0
12,50,rpRF,dca_sd,-0.35,OO,0.0
12,51,rGG,dca_sd,-0.35,OO,
12,52,rHb,dca_sd,-0.35,OO,0.4757780162501916
12,53,rHi,dca_sd,-0.35,OO,0.5796610169491525
12,54,rHR,dca_sd,-0.35,OO,
12,55,rOG,dca_sd,-0.35,OO,
12,56,rOB,dca_sd,-0.35,OO,
12,57,rOE,dca_sd,-0.35,OO,
12,58,rP,dca_sd,-0.35,OO,0.6470418902424983
12,59,rPi,dca_sd,-0.35,OO,
12,60,rPT,dca_sd,-0.35,OO,0.6497508274051813
12,61,rPO,dca_sd,-0.35,OO,0.5598010040662411
12,62,rPrT,dca_sd,-0.35,OO,0.6609455709945933
12,63,rR,dca_sd,-0.35,OO,
12,64,rSP,dca_sd,-0.35,OO,0.775450788880541
12,65,rTeO,dca_sd,-0.35,OO,0.3955653284527368
12,66,rTh,dca_sd,-0.35,OO,0.6006490324407322
12,67,rTL,dca_sd,-0.35,OO,0.5275142314990512
12,68,rTS,dca_sd,-0.35,OO,
12,69,rTG,dca_sd,-0.35,OO,
12,70,rVR,dca_sd,-0.35,OO,0.7698412698412699
12,71,rNX,dca_sd,-0.35,OO,0.0
12,0,MON,dca_sd,-0.35,source_positive,1.0
12,1,Cb,dca_sd,-0.35,source_positive,1.0
12,2,MOS1,dca_sd,-0.35,source_positive,0.4434278984651589
12,3,MOS2,dca_sd,-0.35,source_positive,0.0
12,4,MOS3,dca_sd,-0.35,source_positive,1.0
12,5,MOS4,dca_sd,-0.35,source_positive,1.0
12,6,MOS5,dca_sd,-0.35,source_positive,1.0
12,7,IPN,dca_sd,-0.35,source_positive,1.0
12,8,IO,dca_sd,-0.35,source_positive,
12,9,Hc,dca_sd,-0.35,source_positive,
12,10,Ra,dca_sd,-0.35,source_positive,0.0
12,11,T,dca_sd,-0.35,source_positive,1.0
12,12,aRF,dca_sd,-0.35,source_positive,0.0
12,13,imRF,dca_sd,-0.35,source_positive,0.0
12,14,pRF,dca_sd,-0.35,source_positive,0.0
12,15,GG,dca_sd,-0.35,source_positive,
12,16,Hb,dca_sd,-0.35,source_positive,1.0
12,17,Hi,dca_sd,-0.35,source_positive,1.0
12,18,HR,dca_sd,-0.35,source_positive,
12,19,OG,dca_sd,-0.35,source_positive,
12,20,OB,dca_sd,-0.35,source_positive,1.0
12,21,OE,dca_sd,-0.35,source_positive,1.0
12,22,P,dca_sd,-0.35,source_positive,1.0
12,23,Pi,dca_sd,-0.35,source_positive,
12,24,PT,dca_sd,-0.35,source_positive,1.0
12,25,PO,dca_sd,-0.35,source_positive,1.0
12,26,PrT,dca_sd,-0.35,source_positive,0.0
12,27,R,dca_sd,-0.35,source_positive,
12,28,SP,dca_sd,-0.35,source_positive,1.0
12,29,TeO,dca_sd,-0.35,source_positive,0.72684231539236
12,30,Th,dca_sd,-0.35,source_positive,0.6185846626044744
12,31,TL,dca_sd,-0.35,source_positive,1.0
12,32,TS,dca_sd,-0.35,source_positive,1.0
12,33,TG,dca_sd,-0.35,source_positive,
12,34,VR,dca_sd,-0.35,source_positive,1.0
12,35,NX,dca_sd,-0.35,source_positive,0.0
12,36,rMON,dca_sd,-0.35,source_positive,1.0
12,37,rCb,dca_sd,-0.35,source_positive,1.0
12,38,rMOS1,dca_sd,-0.35,source_positive,0.5965737906765732
12,39,rMOS2,dca_sd,-0.35,source_positive,0.0
