Subject,RegionID,node,exclusion_band_sd,OO,retained_edge_fraction
12,42,rMOS5,0.15,0.2807673755384238,0.7529751945419023
12,43,rIPN,0.15,,0.7529751945419023
12,44,rIO,0.15,,0.7529751945419023
12,45,rHc,0.15,,0.7529751945419023
12,46,rRa,0.15,0.0,0.7529751945419023
12,47,rT,0.15,0.0,0.7529751945419023
12,48,raRF,0.15,0.0,0.7529751945419023
12,49,rimRF,0.15,0.0,0.7529751945419023
12,50,rpRF,0.15,0.0,0.7529751945419023
12,51,rGG,0.15,,0.7529751945419023
12,52,rHb,0.15,,0.7529751945419023
12,53,rHi,0.15,,0.7529751945419023
12,54,rHR,0.15,,0.7529751945419023
12,55,rOG,0.15,,0.7529751945419023
12,56,rOB,0.15,,0.7529751945419023
12,57,rOE,0.15,,0.7529751945419023
12,58,rP,0.15,0.464644841360944,0.7529751945419023
12,59,rPi,0.15,,0.7529751945419023
12,60,rPT,0.15,0.0,0.7529751945419023
12,61,rPO,0.15,0.49817895335020923,0.7529751945419023
12,62,rPrT,0.15,,0.7529751945419023
12,63,rR,0.15,,0.7529751945419023
12,64,rSP,0.15,,0.7529751945419023
12,65,rTeO,0.15,0.16290088241170547,0.7529751945419023
12,66,rTh,0.15,0.5082086618724998,0.7529751945419023
12,67,rTL,0.15,,0.7529751945419023
12,68,rTS,0.15,,0.7529751945419023
12,69,rTG,0.15,,0.7529751945419023
12,70,rVR,0.15,,0.7529751945419023
12,71,rNX,0.15,0.0,0.7529751945419023
12,0,MON,0.25,0.48999889368292954,0.6660094093589914
12,1,Cb,0.25,0.30748130645321536,0.6660094093589914
12,2,MOS1,0.25,0.0,0.6660094093589914
12,3,MOS2,0.25,0.0,0.6660094093589914
12,4,MOS3,0.25,0.280973139062949,0.6660094093589914
12,5,MOS4,0.25,0.3112604824468134,0.6660094093589914
12,6,MOS5,0.25,0.3519672235010876,0.6660094093589914
12,7,IPN,0.25,,0.6660094093589914
12,8,IO,0.25,,0.6660094093589914
12,9,Hc,0.25,,0.6660094093589914
12,10,Ra,0.25,0.0,0.6660094093589914
12,11,T,0.25,0.24176282678140687,0.6660094093589914
12,12,aRF,0.25,0.0,0.6660094093589914
12,13,imRF,0.25,0.0,0.6660094093589914
12,14,pRF,0.25,0.0,0.6660094093589914
12,15,GG,0.25,,0.6660094093589914
12,16,Hb,0.25,,0.6660094093589914
12,17,Hi,0.25,,0.6660094093589914
12,18,HR,0.25,,0.6660094093589914
12,19,OG,0.25,,0.6660094093589914
12,20,OB,0.25,,0.6660094093589914
12,21,OE,0.25,,0.6660094093589914
12,22,P,0.25,,0.6660094093589914
12,23,Pi,0.25,,0.6660094093589914
12,24,PT,0.25,0.5022345341023449,0.6660094093589914
12,25,PO,0.25,0.4353968578720105,0.6660094093589914
12,26,PrT,0.25,0.0,0.6660094093589914
12,27,R,0.25,,0.6660094093589914
12,28,SP,0.25,,0.6660094093589914
12,29,TeO,0.25,0.19460400997679145,0.6660094093589914
12,30,Th,0.25,0.0,0.6660094093589914
12,31,TL,0.25,,0.6660094093589914
12,32,TS,0.25,,0.6660094093589914
12,33,TG,0.25,,0.6660094093589914
12,34,VR,0.25,,0.6660094093589914
12,35,NX,0.25,0.0,0.6660094093589914
12,36,rMON,0.25,0.45529768757235406,0.6660094093589914
12,37,rCb,0.25,0.4403242625480631,0.6660094093589914
12,38,rMOS1,0.25,0.19928884068466168,0.6660094093589914
12,39,rMOS2,0.25,0.0,0.6660094093589914
12,40,rMOS3,0.25,0.20772838361298673,0.6660094093589914
12,41,rMOS4,0.25,0.26435106102315514,0.6660094093589914
12,42,rMOS5,0.25,0.3279293042638572,0.6660094093589914
12,43,rIPN,0.25,,0.6660094093589914
12,44,rIO,0.25,,0.6660094093589914
12,45,rHc,0.25,,0.6660094093589914
12,46,rRa,0.25,0.0,0.6660094093589914
12,47,rT,0.25,0.0,0.6660094093589914
12,48,raRF,0.25,0.0,0.6660094093589914
12,49,rimRF,0.25,0.0,0.6660094093589914
12,50,rpRF,0.25,0.0,0.6660094093589914
12,51,rGG,0.25,,0.6660094093589914
12,52,rHb,0.25,,0.6660094093589914
12,53,rHi,0.25,,0.6660094093589914
12,54,rHR,0.25,,0.6660094093589914
12,55,rOG,0.25,,0.6660094093589914
12,56,rOB,0.25,,0.6660094093589914
12,57,rOE,0.25,,0.6660094093589914
12,58,rP,0.25,0.4079664678049784,0.6660094093589914
12,59,rPi,0.25,,0.6660094093589914
12,60,rPT,0.25,,0.6660094093589914
12,61,rPO,0.25,0.456407091561939,0.6660094093589914
12,62,rPrT,0.25,,0.6660094093589914
12,63,rR,0.25,,0.6660094093589914
12,64,rSP,0.25,,0.6660094093589914
12,65,rTeO,0.25,0.17695290008939907,0.6660094093589914
12,66,rTh,0.25,,0.6660094093589914
12,67,rTL,0.25,,0.6660094093589914
12,68,rTS,0.25,,0.6660094093589914
12,69,rTG,0.25,,0.6660094093589914
12,70,rVR,0.25,,0.6660094093589914
12,71,rNX,0.25,0.0,0.6660094093589914
12,0,MON,0.35,0.534824100519559,0.5797331438224393
12,1,Cb,0.35,0.29069063282776847,0.5797331438224393
12,2,MOS1,0.35,0.0,0.5797331438224393
12,3,MOS2,0.35,0.0,0.5797331438224393
12,4,MOS3,0.35,0.27296720320211726,0.5797331438224393
12,5,MOS4,0.35,0.32638079406428333,0.5797331438224393
12,6,MOS5,0.35,0.39008330596555824,0.5797331438224393
12,7,IPN,0.35,,0.5797331438224393
12,8,IO,0.35,,0.5797331438224393
12,9,Hc,0.35,,0.5797331438224393
12,10,Ra,0.35,0.0,0.5797331438224393
12,11,T,0.35,0.23171372160582873,0.5797331438224393
12,12,aRF,0.35,0.0,0.5797331438224393
12,13,imRF,0.35,0.0,0.5797331438224393
12,14,pRF,0.35,0.0,0.5797331438224393
12,15,GG,0.35,,0.5797331438224393
12,16,Hb,0.35,,0.5797331438224393
12,17,Hi,0.35,,0.5797331438224393
12,18,HR,0.35,,0.5797331438224393
12,19,OG,0.35,,0.5797331438224393
12,20,OB,0.35,,0.5797331438224393
12,21,OE,0.35,,0.5797331438224393
12,22,P,0.35,,0.5797331438224393
12,23,Pi,0.35,,0.5797331438224393
12,24,PT,0.35,0.4919572888501902,0.5797331438224393
12,25,PO,0.35,,0.5797331438224393
12,26,PrT,0.35,0.0,0.5797331438224393
12,27,R,0.35,,0.5797331438224393
12,28,SP,0.35,,0.5797331438224393
12,29,TeO,0.35,0.20504521551020635,0.5797331438224393
12,30,Th,0.35,0.0,0.5797331438224393
12,31,TL,0.35,,0.5797331438224393
12,32,TS,0.35,,0.5797331438224393
12,33,TG,0.35,,0.5797331438224393
12,34,VR,0.35,,0.5797331438224393
12,35,NX,0.35,0.0,0.5797331438224393
12,36,rMON,0.35,0.5147989772205751,0.5797331438224393
12,37,rCb,0.35,0.36576361432130955,0.5797331438224393
12,38,rMOS1,0.35,0.19605714568877794,0.5797331438224393
12,39,rMOS2,0.35,0.0,0.5797331438224393
12,40,rMOS3,0.35,0.20181687553020647,0.5797331438224393
12,41,rMOS4,0.35,0.3006265105474341,0.5797331438224393
12,42,rMOS5,0.35,0.3508991907863421,0.5797331438224393
12,43,rIPN,0.35,,0.5797331438224393
12,44,rIO,0.35,,0.5797331438224393
