Subject,RegionID,node,temperature_sd,soft_OO
12,35,NX,0.2,6.118750363207912e-05
12,36,rMON,0.2,0.39846357971856294
12,37,rCb,0.2,0.3492808479768118
12,38,rMOS1,0.2,0.21613296671753185
12,39,rMOS2,0.2,1.4748966459616539e-08
12,40,rMOS3,0.2,0.22984229679745896
12,41,rMOS4,0.2,0.3025299656550134
12,42,rMOS5,0.2,0.29567280308820637
12,43,rIPN,0.2,
12,44,rIO,0.2,
12,45,rHc,0.2,
12,46,rRa,0.2,0.023188261075812597
12,47,rT,0.2,0.05626602510672562
12,48,raRF,0.2,0.003454306438551979
12,49,rimRF,0.2,0.017243900980892075
12,50,rpRF,0.2,0.0013224365161161966
12,51,rGG,0.2,
12,52,rHb,0.2,0.21082578954150782
12,53,rHi,0.2,0.16629426180592405
12,54,rHR,0.2,
12,55,rOG,0.2,
12,56,rOB,0.2,
12,57,rOE,0.2,
12,58,rP,0.2,0.35135922345631393
12,59,rPi,0.2,
12,60,rPT,0.2,0.13743563394808817
12,61,rPO,0.2,0.4302644555978279
12,62,rPrT,0.2,0.23973033859829118
12,63,rR,0.2,
12,64,rSP,0.2,0.2646843126384575
12,65,rTeO,0.2,0.20450640616156332
12,66,rTh,0.2,0.2976091543503542
12,67,rTL,0.2,0.2039905040099484
12,68,rTS,0.2,
12,69,rTG,0.2,
12,70,rVR,0.2,0.31092343157427854
12,71,rNX,0.2,6.984943557979258e-08
12,0,MON,0.35,0.4692745720735945
12,1,Cb,0.35,0.26634584425672336
12,2,MOS1,0.35,0.0765284823785727
12,3,MOS2,0.35,8.932440737491502e-05
12,4,MOS3,0.35,0.2717874966693863
12,5,MOS4,0.35,0.35518307838113866
12,6,MOS5,0.35,0.37757958138774844
12,7,IPN,0.35,0.21204370790652646
12,8,IO,0.35,
12,9,Hc,0.35,
12,10,Ra,0.35,0.060691384236589124
12,11,T,0.35,0.25313289364454206
12,12,aRF,0.35,0.031409042570705835
12,13,imRF,0.35,0.007123044040811651
12,14,pRF,0.35,0.04715996106972
12,15,GG,0.35,
12,16,Hb,0.35,0.30059873746517646
12,17,Hi,0.35,0.2464063194268462
12,18,HR,0.35,
12,19,OG,0.35,
12,20,OB,0.35,0.2864318514674801
12,21,OE,0.35,0.3233135434344372
12,22,P,0.35,0.2692149794926109
12,23,Pi,0.35,
12,24,PT,0.35,0.34565198620003557
12,25,PO,0.35,0.32638868649507274
12,26,PrT,0.35,0.06513680253313676
12,27,R,0.35,
12,28,SP,0.35,0.26017540274561946
12,29,TeO,0.35,0.21263679948281136
12,30,Th,0.35,0.18507707040788965
12,31,TL,0.35,0.3126801806928408
12,32,TS,0.35,0.24733417431254312
12,33,TG,0.35,
12,34,VR,0.35,0.34181823441601156
12,35,NX,0.35,0.0030934037180760997
12,36,rMON,0.35,0.35263768011703595
12,37,rCb,0.35,0.3245166696128771
12,38,rMOS1,0.35,0.22393482176387347
12,39,rMOS2,0.35,2.6150623479397466e-05
12,40,rMOS3,0.35,0.24213607324511216
12,41,rMOS4,0.35,0.3200689908997535
12,42,rMOS5,0.35,0.29581147767690325
12,43,rIPN,0.35,
12,44,rIO,0.35,
12,45,rHc,0.35,
12,46,rRa,0.35,0.07320159306623987
12,47,rT,0.35,0.07367486401363538
12,48,raRF,0.35,0.02386244411500897
12,49,rimRF,0.35,0.053942510757556295
12,50,rpRF,0.35,0.01529341914393525
12,51,rGG,0.35,
12,52,rHb,0.35,0.20317515710903122
12,53,rHi,0.35,0.18812673416550676
12,54,rHR,0.35,
12,55,rOG,0.35,
12,56,rOB,0.35,
12,57,rOE,0.35,
12,58,rP,0.35,0.30428436528993386
12,59,rPi,0.35,
12,60,rPT,0.35,0.1788221207950008
12,61,rPO,0.35,0.3724891165466274
12,62,rPrT,0.35,0.25325151675740437
12,63,rR,0.35,
12,64,rSP,0.35,0.2553355250348986
12,65,rTeO,0.35,0.21238004402670743
12,66,rTh,0.35,0.27616741764211244
12,67,rTL,0.35,0.1997502339776206
12,68,rTS,0.35,
12,69,rTG,0.35,
12,70,rVR,0.35,0.2913987607183967
12,71,rNX,0.35,6.700430407412414e-05
12,0,MON,0.5,0.43238306505397917
12,1,Cb,0.5,0.24991702016974235
12,2,MOS1,0.5,0.08267634489153444
12,3,MOS2,0.5,0.001184781500081648
12,4,MOS3,0.5,0.25464801831788075
12,5,MOS4,0.5,0.34602306523806764
12,6,MOS5,0.5,0.3602867549380205
12,7,IPN,0.5,0.2234187057805519
12,8,IO,0.5,
12,9,Hc,0.5,
12,10,Ra,0.5,0.10191946770707543
12,11,T,0.5,0.24347481690075237
12,12,aRF,0.5,0.06124513934182035
12,13,imRF,0.5,0.0221329042380113
12,14,pRF,0.5,0.07499158952963758
12,15,GG,0.5,
12,16,Hb,0.5,0.2849918108610293
12,17,Hi,0.5,0.24748221566025563
12,18,HR,0.5,
12,19,OG,0.5,
12,20,OB,0.5,0.2758981658742519
12,21,OE,0.5,0.30209711163314407
12,22,P,0.5,0.25773209725597884
12,23,Pi,0.5,
12,24,PT,0.5,0.3044172935593071
12,25,PO,0.5,0.3033940046768557
12,26,PrT,0.5,0.10516767557226364
12,27,R,0.5,
12,28,SP,0.5,0.24580733348525718
12,29,TeO,0.5,0.2119582032801945
12,30,Th,0.5,0.19689217414724336
12,31,TL,0.5,0.29973410757042135
12,32,TS,0.5,0.24229531923021588
12,33,TG,0.5,
12,34,VR,0.5,0.32258841230397467
12,35,NX,0.5,0.014381483748803233
12,36,rMON,0.5,0.3262136337076432
12,37,rCb,0.5,0.3078730326464496
12,38,rMOS1,0.5,0.2345777647785385
12,39,rMOS2,0.5,0.0005116918476053847
12,40,rMOS3,0.5,0.25407424957146685
12,41,rMOS4,0.5,0.3303920157779963
12,42,rMOS5,0.5,0.28688064686903986
12,43,rIPN,0.5,
12,44,rIO,0.5,
12,45,rHc,0.5,
12,46,rRa,0.5,0.11144434204620975
12,47,rT,0.5,0.09598738540473475
12,48,raRF,0.5,0.05014286458681266
12,49,rimRF,0.5,0.08358350508459533
12,50,rpRF,0.5,0.03908208203871085
12,51,rGG,0.5,
12,52,rHb,0.5,0.20324805748009894
12,53,rHi,0.5,0.20254877122861822
12,54,rHR,0.5,
12,55,rOG,0.5,
12,56,rOB,0.5,
12,57,rOE,0.5,
12,58,rP,0.5,0.2851728484517086
12,59,rPi,0.5,
12,60,rPT,0.5,0.19735549218139203
12,61,rPO,0.5,0.3439993606268119
12,62,rPrT,0.5,0.25977477773589935
12,63,rR,0.5,
12,64,rSP,0.5,0.2526666644457769
12,65,rTeO,0.5,0.2123507076751656
12,66,rTh,0.5,0.2684766346210925
12,67,rTL,0.5,0.19797755928094635
12,68,rTS,0.5,
12,69,rTG,0.5,
12,70,rVR,0.5,0.2789640743636444
12,71,rNX,0.5,0.0010228580877417852
12,0,MON,1.0,0.3541313261229895
12,1,Cb,1.0,0.2326476655566421
12,2,MOS1,1.0,0.11228978481820105
12,3,MOS2,1.0,0.022923485950028553
12,4,MOS3,1.0,0.23568407288882598
12,5,MOS4,1.0,0.30931650412574957
12,6,MOS5,1.0,0.3152857452234879
12,7,IPN,1.0,0.23686314269824996
12,8,IO,1.0,
12,9,Hc,1.0,
12,10,Ra,1.0,0.17342826696933722
12,11,T,1.0,0.23623756404100657
12,12,aRF,1.0,0.12554233723695077
12,13,imRF,1.0,0.07810741437163515
12,14,pRF,1.0,0.12571136388199405
12,15,GG,1.0,
12,16,Hb,1.0,0.26743270070803826
12,17,Hi,1.0,0.24873982780203482
12,18,HR,1.0,
12,19,OG,1.0,
12,20,OB,1.0,0.26309791806756816
12,21,OE,1.0,0.2763376617699001
12,22,P,1.0,0.2496500663509911
12,23,Pi,1.0,
12,24,PT,1.0,0.25916447064361203
12,25,PO,1.0,0.2813928734991172
12,26,PrT,1.0,0.16880169751202567
12,27,R,1.0,
12,28,SP,1.0,0.23616994330038882
12,29,TeO,1.0,0.21264566377798727
12,30,Th,1.0,0.21431035521548716
12,31,TL,1.0,0.2783607469930846
12,32,TS,1.0,0.2386822049690015
12,33,TG,1.0,
12,34,VR,1.0,0.28761864440215473
12,35,NX,1.0,0.07623772609427855
12,36,rMON,1.0,0.2882725136838252
12,37,rCb,1.0,0.2831273247709748
12,38,rMOS1,1.0,0.2659180457741407
12,39,rMOS2,1.0,0.015609773695732186
12,40,rMOS3,1.0,0.28312180748951044
12,41,rMOS4,1.0,0.34046869757743176
12,42,rMOS5,1.0,0.2661015843154532
12,43,rIPN,1.0,
12,44,rIO,1.0,
12,45,rHc,1.0,
12,46,rRa,1.0,0.1758884482723601
12,47,rT,1.0,0.1448194342596822
12,48,raRF,1.0,0.11441897666878993
12,49,rimRF,1.0,0.1410639237526256
12,50,rpRF,1.0,0.10731539049978754
12,51,rGG,1.0,
12,52,rHb,1.0,0.21230687150632535
12,53,rHi,1.0,0.22445520453523282
12,54,rHR,1.0,
12,55,rOG,1.0,
12,56,rOB,1.0,
12,57,rOE,1.0,
12,58,rP,1.0,0.26640609582183306
12,59,rPi,1.0,
12,60,rPT,1.0,0.22057632442390815
12,61,rPO,1.0,0.3096812215114292
12,62,rPrT,1.0,0.2663024356778273
12,63,rR,1.0,
12,64,rSP,1.0,0.2506501897119615
12,65,rTeO,1.0,0.21309753313199856
12,66,rTh,1.0,0.2623815261967819
12,67,rTL,1.0,0.20381543234228836
12,68,rTS,1.0,
12,69,rTG,1.0,
12,70,rVR,1.0,0.2614274256643848
12,71,rNX,1.0,0.022962507381289816
13,0,MON,0.025,0.5184760308073523
13,1,Cb,0.025,0.017125397718313968
13,2,MOS1,0.025,0.005887099059302318
13,3,MOS2,0.025,4.3192392477793856e-10
13,4,MOS3,0.025,0.11121457454815437
13,5,MOS4,0.025,0.346767367984617
13,6,MOS5,0.025,0.42802463599649987
13,7,IPN,0.025,0.05745766349606023
13,8,IO,0.025,
13,9,Hc,0.025,
13,10,Ra,0.025,4.344231000930436e-17
13,11,T,0.025,0.28931934156009725
13,12,aRF,0.025,1.1563689119268613e-07
13,13,imRF,0.025,1.1906976781011364e-18
13,14,pRF,0.025,2.6130989605613613e-15
13,15,GG,0.025,
13,16,Hb,0.025,0.11517333580504352
13,17,Hi,0.025,0.006699939761078114
13,18,HR,0.025,0.4270711818190886
13,19,OG,0.025,
13,20,OB,0.025,
13,21,OE,0.025,0.12087675588587854
13,22,P,0.025,0.05259306288607071
13,23,Pi,0.025,
13,24,PT,0.025,0.29939422245617536
13,25,PO,0.025,0.39989994046521277
13,26,PrT,0.025,0.08951566071286574
13,27,R,0.025,
13,28,SP,0.025,0.5376606395982764
13,29,TeO,0.025,0.25593929171677793
13,30,Th,0.025,0.23734658495322103
13,31,TL,0.025,0.19407316306286715
13,32,TS,0.025,0.15762530692183158
13,33,TG,0.025,
13,34,VR,0.025,0.5912791496427975
13,35,NX,0.025,1.1484370338790135e-07
13,36,rMON,0.025,0.3708402273847475
13,37,rCb,0.025,0.16304095450140846
13,38,rMOS1,0.025,0.10742776109583786
13,39,rMOS2,0.025,0.37170510585424404
13,40,rMOS3,0.025,0.05126283512726508
13,41,rMOS4,0.025,0.3314345893096678
13,42,rMOS5,0.025,0.4129539247881097
13,43,rIPN,0.025,0.1155163159059445
13,44,rIO,0.025,
13,45,rHc,0.025,0.011032093227466283
13,46,rRa,0.025,1.3407374830134794e-09
13,47,rT,0.025,0.08852450401633973
13,48,raRF,0.025,2.4165760576628064e-14
13,49,rimRF,0.025,1.3095005566822659e-18
13,50,rpRF,0.025,0.19307660171401214
13,51,rGG,0.025,
13,52,rHb,0.025,0.06270709081619603
13,53,rHi,0.025,0.007080964161979297
13,54,rHR,0.025,0.5009007836591278
13,55,rOG,0.025,
13,56,rOB,0.025,
13,57,rOE,0.025,
13,58,rP,0.025,0.6070583258940027
13,59,rPi,0.025,
13,60,rPT,0.025,0.008549745290443536
13,61,rPO,0.025,0.38747425706667227
13,62,rPrT,0.025,0.4470758177546192
13,63,rR,0.025,
13,64,rSP,0.025,0.4093342509035142
13,65,rTeO,0.025,0.31352083248961565
13,66,rTh,0.025,0.24525521046537682
13,67,rTL,0.025,0.16317705087316942
13,68,rTS,0.025,0.39406705701940126
13,69,rTG,0.025,
13,70,rVR,0.025,0.5821550129374521
13,71,rNX,0.025,2.301106628593143e-09
13,0,MON,0.05,0.5270523226105185
13,1,Cb,0.05,0.0608109725772611
13,2,MOS1,0.05,0.03783244953123013
13,3,MOS2,0.05,1.3523672474774616e-05
13,4,MOS3,0.05,0.11381002881227381
13,5,MOS4,0.05,0.3522426874258275
13,6,MOS5,0.05,0.43069633917977534
13,7,IPN,0.05,0.14300298665100186
13,8,IO,0.05,
13,9,Hc,0.05,
13,10,Ra,0.05,3.0590806022203694e-09
13,11,T,0.05,0.29162554461811374
13,12,aRF,0.05,0.00024941905675413255
13,13,imRF,0.05,1.2403315086966889e-18
13,14,pRF,0.05,1.1164466875109478e-08
13,15,GG,0.05,
13,16,Hb,0.05,0.20264941745441964
13,17,Hi,0.05,0.04249416432248802
13,18,HR,0.05,0.4633394814661949
13,19,OG,0.05,
13,20,OB,0.05,
13,21,OE,0.05,0.1556958596811744
13,22,P,0.05,0.12744943255986577
13,23,Pi,0.05,
13,24,PT,0.05,0.3110120582565427
13,25,PO,0.05,0.4022381093694437
13,26,PrT,0.05,0.17619262777267325
13,27,R,0.05,
13,28,SP,0.05,0.46475172795221603
13,29,TeO,0.05,0.26056492503387385
13,30,Th,0.05,0.24298554619340665
13,31,TL,0.05,0.22863723281587076
13,32,TS,0.05,0.15755625198032236
13,33,TG,0.05,
13,34,VR,0.05,0.596955514066616
13,35,NX,0.05,0.0002543681689303106
13,36,rMON,0.05,0.3839016718200552
13,37,rCb,0.05,0.19214616809966795
13,38,rMOS1,0.05,0.11187999646160576
13,39,rMOS2,0.05,0.33034230130404385
13,40,rMOS3,0.05,0.051451575789461614
13,41,rMOS4,0.05,0.33599394313001013
13,42,rMOS5,0.05,0.41547446579340674
13,43,rIPN,0.05,0.15855521047116572
13,44,rIO,0.05,
13,45,rHc,0.05,0.06524570454529093
13,46,rRa,0.05,1.6061351141900578e-05
13,47,rT,0.05,0.08874013276162027
13,48,raRF,0.05,9.923326532903174e-08
13,49,rimRF,0.05,1.332355804372311e-18
13,50,rpRF,0.05,0.1996075827399982
13,51,rGG,0.05,
13,52,rHb,0.05,0.17217297770316456
13,53,rHi,0.05,0.053031142101147684
13,54,rHR,0.05,0.4910403910247071
13,55,rOG,0.05,
13,56,rOB,0.05,
13,57,rOE,0.05,
13,58,rP,0.05,0.560595231677977
13,59,rPi,0.05,
13,60,rPT,0.05,0.052426522713627736
13,61,rPO,0.05,0.3874644196176425
13,62,rPrT,0.05,0.40003013381913116
13,63,rR,0.05,
13,64,rSP,0.05,0.36239649992263895
13,65,rTeO,0.05,0.3186372352653879
13,66,rTh,0.05,0.2512373783517219
13,67,rTL,0.05,0.1728986077649142
13,68,rTS,0.05,0.384597362828145
13,69,rTG,0.05,
13,70,rVR,0.05,0.5845322506986239
13,71,rNX,0.05,3.582015598302735e-05
13,0,MON,0.1,0.5269443815574503
13,1,Cb,0.1,0.12043434739269193
13,2,MOS1,0.1,0.08517164367237554
13,3,MOS2,0.1,0.002429808337093307
13,4,MOS3,0.1,0.12315119558265827
13,5,MOS4,0.1,0.3592769864435807
13,6,MOS5,0.1,0.43358456426936237
13,7,IPN,0.1,0.21248320130756973
13,8,IO,0.1,
13,9,Hc,0.1,
13,10,Ra,0.1,2.7171989728177894e-05
13,11,T,0.1,0.3010753719346439
13,12,aRF,0.1,0.011403786069862778
13,13,imRF,0.1,1.318724360235724e-18
13,14,pRF,0.1,2.6160150587662654e-05
13,15,GG,0.1,
13,16,Hb,0.1,0.2404039949839294
13,17,Hi,0.1,0.10010405571659257
13,18,HR,0.1,0.48153210329422497
13,19,OG,0.1,
13,20,OB,0.1,
13,21,OE,0.1,0.1956402649905886
13,22,P,0.1,0.1987899149515484
13,23,Pi,0.1,
13,24,PT,0.1,0.3163710504941092
13,25,PO,0.1,0.3718977169783663
13,26,PrT,0.1,0.23194608067305858
13,27,R,0.1,
13,28,SP,0.1,0.3809149319304966
13,29,TeO,0.1,0.2638118925041763
13,30,Th,0.1,0.25645539978709514
13,31,TL,0.1,0.24097871388089093
13,32,TS,0.1,0.15732979811574116
13,33,TG,0.1,
13,34,VR,0.1,0.5523442690553697
13,35,NX,0.1,0.011744666559826289
13,36,rMON,0.1,0.39780371582560903
13,37,rCb,0.1,0.21272370540286792
13,38,rMOS1,0.1,0.12060483956783018
13,39,rMOS2,0.1,0.28280986368675176
13,40,rMOS3,0.1,0.05356168077406746
13,41,rMOS4,0.1,0.3434656339396823
13,42,rMOS5,0.1,0.41443170691017805
13,43,rIPN,0.1,0.195189232769396
13,44,rIO,0.1,
