species,recording_id,root_area_id,node,Subject,RegionID,PostDCA,PreDCA,OO_fraction,OO_count,Modularity,LogOutIn,inter_out_edges,inter_in_edges,post_dca_edges,pre_dca_edges,modularity_edges,modularity_n_modules,anatomy_group,complete_five_measures
Zebrafish,subject_12,70,rVR,12,70,-0.011957004527774,-0.0045582200008408,0.4034229828850856,165,0.6634932604392498,1.6854238194120224,409,75,409,75,103,12,Hind,True
Zebrafish,subject_12,71,rNX,12,71,-0.0170182325660309,0.003871711837465,0.2016288447853245,5100,0.4387686762765541,-1.074228319224646,25294,74056,25294,74056,3555,9,Hind,True
Zebrafish,subject_13,0,MON,13,0,-0.0122596033579903,-0.0038772067435236,0.1057701121868323,30000,0.3912311692437231,0.9271913263435252,283634,112223,283634,112223,15653,22,Hind,True
Zebrafish,subject_13,1,Cb,13,1,-0.0172463688142824,-0.0003457946494874,0.1348316819981484,34225,0.577455061409142,0.3115870849762359,253835,185879,253835,185879,11144,56,Hind,True
Zebrafish,subject_13,2,MOS1,13,2,-0.0106631679650979,0.005260656038404,0.2188076664748749,95452,0.2765858730088436,-0.381481719062348,436237,638849,436237,638849,56057,25,Hind,True
Zebrafish,subject_13,3,MOS2,13,3,-0.0120306921347963,0.00939456717382,0.1518109084152954,26147,0.6456804687499998,-0.3018223435539328,172234,232916,172234,232916,2400,32,Hind,True
Zebrafish,subject_13,4,MOS3,13,4,-0.0203468062520584,0.0016646657700744,0.178857833637759,134935,0.4781033514317288,1.7223814789081011,754426,134770,754426,134770,12624,26,Hind,True
Zebrafish,subject_13,5,MOS4,13,5,-0.015983948357271,-9.547773367553678e-05,0.1337259663049944,38441,0.5278243167926483,1.2207125910277816,287461,84806,287461,84806,4218,96,Hind,True
Zebrafish,subject_13,6,MOS5,13,6,-0.0117434969239391,0.000837140660268,0.1526763342091562,50147,0.5010454653524355,0.6665060144610625,328453,168660,328453,168660,15126,41,Hind,True
Zebrafish,subject_13,7,IPN,13,7,-0.0069333609097344,-0.0032463939039655,0.1946092558060688,1148,0.779068079547104,-0.8193317358920869,5899,13386,5899,13386,83,38,Hind,True
Zebrafish,subject_13,8,IO,13,8,2.7061522564495844e-06,-0.0089046775493501,0.0,0,0.0,-2.763620052257021,6,110,6,110,2,11,Hind,True
Zebrafish,subject_13,9,Hc,13,9,-0.0450227611838262,0.000475644677513,0.062479173608797,375,0.6163297661514071,-0.3488650825977142,6002,8508,6002,8508,87,15,Di,True
Zebrafish,subject_13,10,Ra,13,10,-0.0107429693302277,0.0094467670694891,0.1965873819977163,12224,0.5318737921356236,-1.179799861450518,62181,202322,62181,202322,1358,28,Hind,True
Zebrafish,subject_13,11,T,13,11,-0.0163188937874973,-0.0049725446275425,0.2183554035756087,237860,0.6219750244872868,1.1417903465431771,1089325,347763,1089325,347763,9032,35,Mes,True
Zebrafish,subject_13,12,aRF,13,12,-0.0172320584406476,-0.0043226167030018,0.1880536782398831,52284,0.6155335428518388,0.5037757059422757,278027,167996,278027,167996,2379,44,Hind,True
Zebrafish,subject_13,13,imRF,13,13,-0.0234701011769656,0.0015337284085443,0.1725804245748932,34071,0.5921816973758931,-0.3040750174211989,197421,267579,197421,267579,5295,24,Hind,True
Zebrafish,subject_13,14,pRF,13,14,-0.0160181694163133,0.0056277294501661,0.2368675459203863,47288,0.564954839118784,-1.2130905977028033,199639,671561,199639,671561,6645,40,Hind,True
Zebrafish,subject_13,16,Hb,13,16,0.017656068142614,-0.0012642853454947,0.3617777291860274,6618,0.6059611767035469,5.13219718909209,18293,107,18293,107,1608,21,Di,True
Zebrafish,subject_13,17,Hi,13,17,-0.0297047546441667,-0.0006591392449458,0.122352068261918,3298,0.6801297052154198,0.8962197293266718,26955,11000,26955,11000,1032,75,Di,True
Zebrafish,subject_13,18,HR,13,18,-0.0127770151378172,-0.0037055762916402,0.2456594829961969,8914,0.5516519692168402,-0.6471585009721723,36286,69311,36286,69311,1175,15,Di,True
Zebrafish,subject_13,19,OG,13,19,-0.0026349486687687,-1.532697134943395e-07,0.0985401459854014,27,0.5336455081512314,0.7964895320615344,274,123,274,123,93,15,Tel,True
Zebrafish,subject_13,20,OB,13,20,-0.0159731109914859,7.447734217106065e-05,0.3076923076923077,16,0.6780122008874409,-0.1728428128394108,52,62,52,62,419,29,Tel,True
Zebrafish,subject_13,21,OE,13,21,-0.0050392175125066,-0.0001113997529178,0.0,0,0.6717863894139889,-0.4054651081081644,5,8,5,8,46,21,Tel,True
Zebrafish,subject_13,22,P,13,22,-0.0032145905468949,-0.0315288110750346,0.2184696123243609,2581,0.6893143061692132,0.5473134404629583,11814,6834,11814,6834,5554,43,Tel,True
Zebrafish,subject_13,24,PT,13,24,-0.0056694761026185,-0.0034944713222827,0.2247856165956215,22517,0.5823755002604096,-1.0195230411290237,100171,277663,100171,277663,1498,35,Di,True
Zebrafish,subject_13,25,PO,13,25,0.0073275669279805,0.009532968768143,0.2449520356986505,31893,0.6945135149063363,0.2496688913863003,130201,101434,130201,101434,1182,47,Tel,True
Zebrafish,subject_13,26,PrT,13,26,-0.0194152973147023,-0.0031135810487908,0.1519217007657503,26962,0.6782741908287926,-0.1323008782538565,177473,202577,177473,202577,1646,49,Di,True
Zebrafish,subject_13,28,SP,13,28,2.004027378927806e-05,-0.0241635549842642,0.2731777823663018,5292,0.6972770468548067,1.5249935328657476,19372,4215,19372,4215,2266,42,Tel,True
Zebrafish,subject_13,29,TeO,13,29,-0.0130887983409648,-0.0013687150862847,0.1872837350880727,167353,0.7527184244115569,-0.2033274500507977,893580,1095059,893580,1095059,54381,101,Mes,True
Zebrafish,subject_13,30,Th,13,30,-0.0158361295217665,0.0019635737328919,0.204312737834807,22228,0.7674987217855466,-0.9941211925531462,108794,294001,108794,294001,1915,64,Di,True
Zebrafish,subject_13,31,TL,13,31,-0.056301524459998,-0.0061684703721117,0.0674019607843137,715,0.6822275086505192,1.8257942933436808,10608,1708,10608,1708,340,20,Mes,True
Zebrafish,subject_13,32,TS,13,32,-0.0110438135982646,-0.0063503695585649,0.1684735706580366,6247,0.8032055680815611,-0.6266236444588617,37080,69388,37080,69388,101,44,Mes,True
Zebrafish,subject_13,33,TG,13,33,,,,0,,0.0,0,0,0,0,0,0,Hind,False
Zebrafish,subject_13,34,VR,13,34,-0.0137257683626915,0.0199776383654134,0.1242702251876563,149,0.6310468631897205,1.5217323320149947,1199,261,1199,261,252,10,Hind,True
Zebrafish,subject_13,35,NX,13,35,-0.0014158128922831,0.0039459220653358,0.2076681947489536,11461,0.4699241596831651,-0.1938511386648138,55189,66995,55189,66995,1565,15,Hind,True
Zebrafish,subject_13,36,rMON,13,36,-0.0243524361601455,-0.0044310638312441,0.1488272234071988,42493,0.363449516135542,0.3864642294500682,285519,193997,285519,193997,21613,24,Hind,True
Zebrafish,subject_13,37,rCb,13,37,-0.0241398183951215,-0.001860585249835,0.1352228445413424,32376,0.6315342412117486,0.215427850491484,239427,193025,239427,193025,10600,42,Hind,True
Zebrafish,subject_13,38,rMOS1,13,38,-0.0121288604002305,0.0051080660543602,0.3235191368890986,142615,0.2786883224320137,-0.5408407696460618,440824,757094,440824,757094,73992,32,Hind,True
Zebrafish,subject_13,39,rMOS2,13,39,-0.0028037944859753,0.0095508774386899,0.2375166671201937,17457,0.4708643832723281,-1.6714408743777387,73498,391001,73498,391001,4306,40,Hind,True
Zebrafish,subject_13,40,rMOS3,13,40,-0.0212143316773092,-0.0071363267344743,0.2251666722503266,201630,0.4890778785943881,1.2333698053725566,895470,260858,895470,260858,19694,25,Hind,True
