root_area_id,node,anatomy_group,n_subjects,Hard_OO_fraction,FU_DCApost,FU_DCApre,LogOutIn,OutputParticipation,Reciprocity,CycleParticipation,complete_primary_measures
12,aRF,Hind,7,0.0,-0.0295030682063951,0.043130129302702956,-0.842734317271826,0.6329066199816997,0.7001821884613001,0.9997887887755549,True
13,imRF,Hind,7,0.06845882100482778,-0.04308435242490978,0.04951734407961666,-0.6167920692451597,0.582047005581477,0.723003138232566,0.9998596602713976,True
14,pRF,Hind,7,0.0,-0.026841699818321543,0.04679858925208679,-1.065610283988771,0.6220090487457227,0.8191197793635236,0.999858293877515,True
16,Hb,Di,7,0.3331747710387568,0.014085271299326256,0.008612887896223814,-0.11712890832281513,0.26421280484654985,0.4911544885402418,0.9997753687696032,True
17,Hi,Di,7,0.0,-0.0066410560178625,0.005311485469962485,-1.3712590427964566,0.5652824128427846,0.5518524602770414,0.856657505946601,True
18,HR,Di,6,0.18042701437584555,0.008568665858626997,0.0111965984792129,-0.36047341624305557,0.5903642473303891,0.39482977340091807,1.0,True
19,OG,Tel,7,0.6785714285714286,0.011003623052687,-0.009544187570095983,-1.121145490207727,0.0,0.0,0.32142857142857145,True
20,OB,Tel,7,0.0,0.0067122366393945,0.029009928346794424,-1.2625912618364623,0.0,0.7222222222222222,0.4444444444444444,True
21,OE,Tel,6,0.772878034072064,0.0059380415571327755,0.0017388102143166,1.1637073551621462,0.0,0.054726368159203974,0.0099502487562189,True
22,P,Tel,7,0.28507430713094845,0.004558030223824914,0.010887094234905683,0.17164377660904656,0.22038193343308013,0.5402002728334926,0.9998790181651984,True
24,PT,Di,7,0.18511088235117787,-0.01309794330775113,0.021780579140934186,-0.3142400390142254,0.6329866048517976,0.5271976508584745,0.9996084684377673,True
25,PO,Tel,7,0.5159587552446859,0.005467914013403929,0.04028131733863072,0.7891276539533715,0.478427430739255,0.3693834539385627,0.999247047288642,True
26,PrT,Di,7,0.07567871541797744,0.0028094238116300003,0.015003511679822243,-0.42469097104701226,0.6298754149435721,0.7490266173107399,0.999882296397289,True
28,SP,Tel,7,0.5928121851476214,-0.005214539834678657,0.003361014440389057,1.0401165899058706,0.22574044629190665,0.2787556534588161,0.9998475247162435,True
29,TeO,Mes,7,0.2913677716720571,-0.02682264379152063,0.015248275914913815,-0.06286092418554821,0.5875457739661121,0.681363249132412,0.9999923994070506,True
