root_area_id,node,anatomy_group,n_recordings,n_clusters_mean,EdgeStdFCV,FCS,ProfileCorrDistFCV,NetTE,NeighborNetTE,complete_five_measures
21,OE,Tel,6,1.0,0.3554379419406854,0.007300215543962284,0.7835840832112037,0.0026580162137301165,0.0019850141780247167,True
22,P,Tel,7,1.5714285714285714,0.36023811751270784,0.1595771872316718,0.6265289218275736,0.0045660893735407285,0.00018494718087407706,True
24,PT,Di,7,1.0,0.322795893233018,0.26943950670548195,0.5336646065776703,-0.004138126784725086,0.00024250400916867794,True
25,PO,Tel,7,1.0,0.35142080216428434,0.21063255270810877,0.5486255188577663,-8.492397026327147e-05,0.0005160443937863572,True
26,PrT,Di,7,1.0,0.3195078728259496,0.2947563067211317,0.5346907890176591,-0.002292881360950228,0.00020834640214006996,True
28,SP,Tel,7,1.2857142857142858,0.3680116091256103,0.1670919652267663,0.568642134536913,0.006729299372158129,0.0004508448696441326,True
29,TeO,Mes,7,15.714285714285714,0.3211845665649819,0.16174941993754113,0.6341747772426001,-0.001829080819860175,4.101270108262783e-06,True
30,Th,Di,7,1.7142857142857142,0.32869467241774747,0.2443982757139748,0.6092151865447665,0.00030282304262199005,0.00025647080324327237,True
31,TL,Mes,7,1.0,0.31314296006769066,0.13572857718393494,0.7168183938842464,-0.0065626053420214155,0.0008639358702039857,True
32,TS,Mes,7,1.0,0.3187393710390141,0.1204746434623795,0.7073406494860833,-0.0022133103939079146,-0.0004937029929556143,True
33,TG,Hind,7,1.0,0.25476445355365107,0.04315569255640377,0.7964154708139395,-0.0026981116964253,-0.00062662383418672,True
34,VR,Hind,7,1.0,0.30740900645804264,0.2104263903753977,0.5021611396311111,-0.002326297253226572,1.2617004103009429e-05,True
35,NX,Hind,7,1.0,0.30497615170654824,0.2564255849337111,0.4331139590741964,0.006278026964176486,3.7225032223104807e-06,True
36,rMON,Hind,7,1.8571428571428572,0.3151442719997252,0.11007173819293202,0.5790757793035617,-0.003147972045415286,0.00044674044871327427,True
37,rCb,Hind,7,3.857142857142857,0.3173516428863684,0.25014541559757536,0.5654357547030657,-0.0001504847932815429,0.00012174888019460142,True
38,rMOS1,Hind,7,3.0,0.32521623968708974,0.2904523035612557,0.4462037769603602,0.0040489950159378575,0.000122188884660649,True
39,rMOS2,Hind,7,1.1428571428571428,0.31099178608243644,0.29439283599313837,0.3738181129233089,0.0035153356759490715,0.00017903596275906425,True
40,rMOS3,Hind,7,2.7142857142857144,0.33363984800673935,0.28567734666535477,0.48137039304823553,0.003018741203256572,0.0001101494501656959,True
41,rMOS4,Hind,7,2.142857142857143,0.31120849440324855,0.3062387423981464,0.4385783666435343,0.004975086342549528,3.988909114556597e-05,True
42,rMOS5,Hind,7,3.142857142857143,0.3227070254352224,0.23858745466644388,0.5467550724604618,0.002363671049622143,0.00031332830973675993,True
43,rIPN,Hind,7,1.0,0.3284935748064977,0.19083926624487993,0.6550285474007064,0.0008607037323461143,-0.00018886324647616893,True
44,rIO,Hind,7,1.0,0.3238645119646647,0.10872136821229518,0.7245282589714307,-0.006836680550820914,0.00019069041442214426,True
45,rHc,Di,4,1.0,0.29277786740880773,0.21028682839625745,0.6239815509466592,-0.025410757859521023,0.0007398440328801751,True
46,rRa,Hind,7,1.0,0.32564679831301907,0.23494119510833586,0.5754858341041241,-0.0004855132666383854,0.00025292683671232296,True
47,rT,Mes,7,2.2857142857142856,0.32829126459011176,0.30159159268941604,0.5305923917208059,-0.0002098743242937713,-5.837583704889357e-05,True
48,raRF,Hind,7,1.0,0.2979164304441501,0.29476073883473214,0.48657116191272504,-0.010090014238465585,0.0001610920140905927,True
49,rimRF,Hind,7,1.0,0.3029837656647399,0.3093367893447048,0.3940298844399138,-0.0007969660075087143,0.00012150951954712856,True
50,rpRF,Hind,7,1.2857142857142858,0.32299660922124046,0.26037742212419507,0.41633718322767205,0.0011308407763977286,0.00030064901535029715,True
52,rHb,Di,7,1.0,0.35695704264711037,0.1317289325656861,0.7243641027447233,0.001256565082474586,0.001146672224615841,True
53,rHi,Di,7,1.0,0.3068533628484485,0.2584578353855776,0.5672419413702581,-0.009791858674541814,0.00029423231549494284,True
54,rHR,Di,6,1.0,0.31244632244462694,0.235737828587555,0.5838218378338628,-0.00962154927903365,0.00023142139862118334,True
55,rOG,Tel,5,1.0,0.24568719813679057,0.060008570055606725,0.813624044656021,-0.003467765089574637,0.001604412341034025,True
56,rOB,Tel,7,1.0,0.36066865289085065,0.08351678325351304,0.751137297844627,0.0023096857439890996,0.001753169677869562,True
57,rOE,Tel,5,1.0,0.3563380094739281,0.06083688314276762,0.7481017187588181,0.0029763406286008602,0.00188729214224964,True
58,rP,Tel,7,1.7142857142857142,0.36159168454076435,0.1716801463572111,0.619335611993882,0.0030290405159434574,0.000531625343236757,True
60,rPT,Di,7,1.0,0.3381307525751053,0.2757092623613145,0.5438530980418008,0.0007834412151166002,0.0001762921222056725,True
61,rPO,Tel,7,1.0,0.3592067125583424,0.2239723623683047,0.5585199500405658,0.0030640672457336285,0.00038024660947762857,True
62,rPrT,Di,7,1.0,0.33164528197956084,0.30518446902249263,0.5045635849237139,0.003161706112812243,5.5325984417176555e-05,True
64,rSP,Tel,7,1.1428571428571428,0.3707708274360314,0.18160307244875512,0.5637185343810068,0.005047694884021529,0.0006830955171688103,True
65,rTeO,Mes,7,15.571428571428571,0.332032846214792,0.18429127974110632,0.6207744950903872,2.163016779175715e-05,0.00020783324926510732,True
66,rTh,Di,7,2.2857142857142856,0.34760037445394293,0.2461515468686517,0.5700430659979864,0.003004755835985342,0.00021788797817747454,True
67,rTL,Mes,7,1.0,0.317382653071223,0.15132407416110252,0.6904482575975924,-0.0027335630982458004,0.0007167915188088304,True
68,rTS,Mes,7,1.0,0.2964189996255963,0.13020492782064333,0.7045306839493941,-0.008117214608607457,-0.0007253444537086133,True
69,rTG,Hind,6,1.0,0.23587809970266105,0.02842345841769357,0.8308669996948898,0.0006924713759783834,-0.010784104728118901,True
70,rVR,Hind,7,1.0,0.3048354575697889,0.19052395821983323,0.5214746867957555,-0.0017910543352618288,8.193490112945875e-05,True
71,rNX,Hind,7,1.0,0.30577679170032424,0.27194926919151147,0.40755625975138626,0.0022823013460433854,0.000270903812685895,True
