node,DCA,PostDCA,PreDCA,OO_fraction,out_degree,in_degree
SMDDR,-0.15273403400960278,0.008702341888818117,0.062427601235220585,0.0,18,27
SMDVL,-0.0662653662691692,0.035337588245018495,0.08653273528271072,0.0,17,28
SMDVR,-0.07210158980671567,0.027262773642302753,0.06233108821782487,0.0,16,24
URADL,-1.9836023697938215e-05,-0.0064456552242123264,0.008569245915934585,0.0,4,5
URADR,-0.0001485576679635587,-0.016423068838453125,0.024533326216768233,0.0,4,5
URAVL,0.007618045088301124,-0.03161934828946141,-0.019810626227513835,0.4166666666666667,12,8
URAVR,0.002228476866019639,-0.001350945737858909,0.017920098128906322,0.5384615384615384,13,7
URBL,0.003745916632285624,0.015135669030768682,0.022479363057547407,0.5882352941176471,17,4
URBR,-0.00022803720165668305,0.021974840531970897,0.0282070519252366,0.0,24,8
URXL,0.01682283439630724,0.038105791542042744,0.020005033979560046,0.782608695652174,23,17
URXR,0.0273839881288978,0.03045548449451267,0.023895008535681463,0.6153846153846154,26,21
URYDL,0.047358728184815235,-0.1082198964382442,0.0173016284802289,0.36363636363636365,11,7
URYDR,0.03822509427516236,-0.08693936352060241,0.028446631676448193,0.42857142857142855,14,5
URYVL,0.07802874892367521,-0.05076860633905527,0.015182320982279146,0.5909090909090909,22,6
URYVR,0.09583432238212189,-0.09658661236321343,0.023184624919305532,0.3125,16,9
VA1,-0.013632018483749604,-0.010123083659816755,0.003279336973466213,0.0,3,8
VA10,-0.0064524889499396445,-0.0011384718814356543,-0.24520667046984607,0.0,9,6
VA11,-0.008165249954070645,-0.0010805620849546674,-0.17900404560203872,0.0,8,12
VA12,0.00013112512937141045,-0.01707616075424761,0.006573488266791467,0.23529411764705882,17,14
VA2,-0.0074271883094929915,-0.009739908059526464,-0.0940112146930367,0.0,9,12
VA3,-0.011219275182832084,-0.005064562695481402,-0.09315755954297078,0.0,7,12
VA4,-0.004468066045656661,-0.009835989620784226,-0.12887164688333458,0.0,7,10
VA5,-0.0072237464565733985,-8.823134907153995e-05,-0.15284200922611435,0.0,5,8
VA6,-0.003821502483245896,-0.00849341461554846,-0.2038495622761591,0.0,9,10
VA7,-0.004668070221378723,-0.0010872349344890923,-0.2679261704151293,0.0,8,4
VA8,-0.0048687650234566174,-0.0017660480982524256,-0.2657376352181993,0.0,10,5
VA9,-0.006117449111037232,-0.0007321826410213679,-0.23004375055806325,0.0,10,6
VB1,-0.0036377320934110665,0.014838781975742813,0.022426259717471624,0.0,13,12
VB10,0.00020640650225648354,-2.6464465450781276e-05,-0.00636234287834357,0.6,5,2
VB11,-0.0013266220719168503,0.0011362321138939134,-0.012111451774592176,0.0,7,5
VB2,0.001331458417660073,-0.008681611877071596,-0.003913851571857061,0.125,8,10
VB3,-0.0003549032242942707,-0.0017019712229095923,-0.0009481602537317504,0.0,5,7
VB4,-0.0013303792793734354,-0.00014427063498997095,-0.039326181102103744,0.0,8,7
VB5,-0.0005836178170046445,-0.0001361058411169092,0.009725314869646532,0.0,3,4
VB6,-0.004776133173137028,-0.00024001474803335415,0.009271537605073968,0.0,6,6
VB7,0.0003938444546649554,-0.0018532564961324359,-0.001562715832887513,0.2,5,3
VB8,0.0003379631708995087,-0.0015840103486534053,-0.003527771120241884,0.0,5,3
VB9,0.0003112580356347187,-0.0008107447602553968,-0.004173090078283023,0.2,5,2
VC1,0.0004383997999417564,0.0006603525933907651,0.0024261792072479177,0.5,16,5
VC2,0.0013351919490078453,0.001348891388075176,0.0015852798098668936,0.5,16,7
VC3,0.00033116207401356565,0.00019539353605789347,-0.016847280641840514,0.43478260869565216,23,5
VC4,0.0005212798004013563,-0.008945768366825825,0.0004006998817617298,0.5,4,2
VC5,-9.222322118348689e-05,0.016549581956434533,0.0029635597799053453,0.0,8,3
VC6,0.00016658247961786484,0.003909066619416548,-0.003229846208171145,0.6666666666666666,6,1
VD1,-0.002516217311098174,-0.0003983080908628615,0.009506568962186006,0.0,4,10
VD10,-0.0018936912066264023,-0.004197906621414857,0.002500981783961759,0.0,2,9
VD11,0.0044550995760188825,-0.09593216428598866,-0.004145220872090349,0.4,5,11
VD12,0.00019489873767354604,-0.0013471505351159423,-0.005193809853860847,0.25,4,16
VD13,0.00460664927328854,-0.041459590034631504,-0.0023231794477487546,0.3333333333333333,6,10
VD2,-0.002268223227874358,-0.007714960726919176,-0.0030992980827412673,0.0,5,14
VD3,-0.0014121819889308278,-0.008478359641014042,-0.010291146173452122,0.0,4,14
VD4,-0.0010912235711892865,-0.0017259574980817342,-0.004756347355595684,0.0,2,15
VD5,0.0022288308947371618,-0.032336039135116304,-0.005987039930064226,0.16666666666666666,6,13
VD6,0.0018759890520377647,-0.05760407583112522,-0.0040041485807199365,0.25,4,14
VD7,-0.00016741852849971623,-0.0036989124668733095,-0.002624930788503507,0.0,3,10
VD8,1.7002153993448212e-05,-0.0030134580497241112,-0.004432644264998613,0.3333333333333333,3,7
VD9,-0.0007705732099953305,-0.003535284198262536,-0.0028622831345074136,0.0,2,11
