node,EdgeStdFCV,FCV_raw,NetTE,NetTE_raw,n_recordings,DCA,PostDCA,PreDCA,OO_fraction,LogOutIn,out_degree,in_degree,out_strength,in_strength,fine_class
AWBL,0.204713654082196,0.3496814910097349,-0.1470871954209846,-0.001218640373857843,18,0.016181253663143845,0.043916101600973693,0.014436885204251472,0.625,0.9501922835498364,16,9,74.0,28.0,chemosensory
AWBR,-0.6363934743032126,0.3267568477374917,-0.12832541428225994,-0.001172754525545125,10,0.004407860223334845,0.04129735848986095,0.026212300367396173,0.9333333333333333,0.7178397931503168,15,8,40.0,19.0,chemosensory
AWCL,0.38121224804158316,0.35221196263467763,-0.14299168456522857,-0.0013459761251661607,17,0.010027103081184811,0.035887108488184834,0.014307224675127916,0.5714285714285714,0.15906469462968728,14,12,67.0,57.0,chemosensory
AWCR,-0.3588420063348622,0.33040511789773885,-0.17540608798644794,-0.0006592836357149675,10,0.005196214265788807,0.03096664110158171,0.016059526984880428,0.7647058823529411,0.5753641449035618,17,14,111.0,62.0,chemosensory
BAGL,1.4517288477341903,0.38712912789992265,1.3316464011908882,0.008462513451318477,7,0.030515701992630463,0.030090714343479253,0.016160678651691154,0.5789473684210527,0.758529939822797,19,9,78.0,36.0,thermo/gas sensory
CEPDL,-0.527989438548106,0.32964278855416207,-0.5278501826121974,-0.0034043206976237758,18,0.02002508383416581,0.0018778648129813011,0.03116423405520529,0.6538461538461539,1.4328143767547836,26,20,175.0,41.0,mechanosensory / other sensory
CEPDR,-1.0336890246309256,0.3147096215664527,-0.31939481590129715,-0.0025054054704054217,17,0.010027908579738147,0.0292962675614809,0.035803271109127406,0.5714285714285714,1.8899514954072687,21,10,138.0,20.0,mechanosensory / other sensory
CEPVL,-0.6287512319039216,0.3255139416691753,-0.1707996367273708,-0.0019274089518857985,15,0.013663896893622754,0.008011582334822553,0.04054094225929187,0.5714285714285714,1.127811443360372,21,13,138.0,44.0,mechanosensory / other sensory
CEPVR,-0.5960994793572097,0.320191036023226,-0.21672203834507275,-0.001674916427999132,11,0.004542500366460606,0.020900538038782154,0.040326922943057404,0.6190476190476191,0.7013104911991062,21,20,122.0,60.0,mechanosensory / other sensory
FLPL,-0.8685782424369843,0.3186077255949528,-0.17230007785436866,-0.001114189131640636,16,0.2419527278917316,-0.11494915010104831,0.08027558534681324,0.5,2.2308411881352046,16,7,241.0,25.0,mechanosensory / other sensory
FLPR,-1.3991471985499748,0.30915164306977905,-0.2017005416154542,-0.0015966744893221273,9,0.13313440890743033,-0.05957706097075127,0.05609125913553937,0.5294117647058824,2.6567569067146595,17,5,170.0,11.0,mechanosensory / other sensory
IL1DL,-0.29070634058783884,0.33693449330749803,-0.050783405368373336,-0.0004637007057991987,15,-0.0022865610172764558,-0.047039906903517684,0.033635044681842245,0.0,-0.5465437063680699,7,6,32.0,56.0,mechanosensory / other sensory
IL1DR,0.33627641402744995,0.35185405327995156,-0.06695637053279058,-0.00020154961233677653,16,0.04858685397873857,-0.08679334819336257,0.002643577751442043,0.5555555555555556,0.394993808240869,9,10,94.0,63.0,mechanosensory / other sensory
IL1L,0.3665533497193646,0.3545121321715158,-0.41268531821732946,-0.00361296378714816,15,0.06389880565635207,-0.1317128809090132,-0.003930477227436216,0.5,0.8174448972375224,12,9,76.0,33.0,mechanosensory / other sensory
IL1R,0.9045994284596569,0.36055551860705976,0.602860972691947,0.004545525754453989,13,0.05622063721831688,-0.11908460521053979,-0.043824795953863405,0.25,0.7731898882334817,12,13,77.0,35.0,mechanosensory / other sensory
IL1VL,-0.03406899002252015,0.3422298865930368,-0.05485558429585664,-0.0004712947225012006,11,0.03523427587878842,-0.11067723060290881,0.018229983609837904,0.4444444444444444,0.10178269430994238,9,6,61.0,55.0,mechanosensory / other sensory
IL1VR,0.9773014420598738,0.3653850899569839,0.36381520231904557,0.002249505714361327,12,0.048186729316144344,-0.11511047272826502,0.017849238833259035,0.625,0.19782574332991987,8,8,77.0,63.0,mechanosensory / other sensory
IL2DL,-1.0430335448509693,0.31324491818019473,-0.22390900843862344,-0.0016208693033176423,16,0.00809540359145875,-0.01102329821959325,0.008869261408444677,0.23076923076923078,3.355735007585398,13,2,85.0,2.0,mechanosensory / other sensory
IL2DR,-0.7618825796201106,0.32064741502881067,-0.2534703233136858,-0.0019247821330592397,16,0.007372917881212004,-0.0003309368268281895,0.028246746553868878,0.4166666666666667,2.0455399900041544,12,4,115.0,14.0,mechanosensory / other sensory
