node,EdgeStdFCV,FCV_raw,NetTE,NetTE_raw,n_recordings,n_rois_mean,PostDCA,PreDCA,OO_fraction,DCA,LogOutIn,n_cells,big_group
NO,-0.4963849915069112,0.28121417251557823,-0.1823081499370853,-0.0012116817215815847,20,1.0,0.0006600283274300136,0.014670257704999828,0.030870293985014043,-0.00589634669030912,-0.6183287713935812,551,central complex
OTU_L,-0.05061591024175316,0.2871054806064492,-1.2360911743542844,-0.006102424376183492,20,4.0,-0.0015333589322050676,-0.020331519759939697,0.529275773736896,0.01673443059154703,-0.1537287344066275,601,optic/lateral protocerebrum
OTU_R,-0.06333520152780231,0.2873770471705558,-0.8555218601613429,-0.003789978009687515,20,3.0,-0.007509001944414884,-0.025846986963708993,0.4136447656275168,0.018941237220754525,0.0810809418264268,516,optic/lateral protocerebrum
PB,0.645192607197683,0.29513945872007763,0.4791798931735677,0.0012251031237668776,20,1.0,-0.009404044569384783,0.0041013617291194935,0.12919242277297324,-0.010630774528112334,0.0020218241684593985,225,central complex
PLP_L,0.36844342933727525,0.29191196608595954,0.5667451011859117,0.003795298170484733,20,13.0,-0.003964087838005637,-0.009255271541992887,0.34959308342770956,0.0003905629049024432,0.09315957601756138,2059,optic/lateral protocerebrum
PLP_R,0.2849500985973231,0.29050468129154516,-0.04287011143574223,1.5163246128513733e-05,20,14.95,-0.02106792448025762,-0.015353608084032426,0.3819252443430352,0.0008509111053925965,-0.08541207728709604,1281,optic/lateral protocerebrum
PVLP_L,0.2930105331063104,0.28909505307111416,-0.011212724715544542,-2.0580911573657693e-05,20,11.0,0.009317829304169415,-0.03154590914088074,0.46906856168504224,0.009306012744395742,-0.04340327851824624,1481,optic/lateral protocerebrum
PVLP_R,0.11778951779038227,0.2874181662288809,0.06993211094222082,0.00014971537951219107,20,17.0,0.00940694485669298,-0.016610659097088868,0.5387473556838729,0.011833690889078785,0.17201164164990992,779,optic/lateral protocerebrum
SIP_L,0.15093883755470644,0.28888236114577565,-0.5433069708885103,-0.002032612462045864,20,7.0,0.010544627094206095,0.002419202341018956,0.22468035426220095,0.004623004697077775,-0.013382059769122342,390,superior protocerebrum
SIP_R,0.3441416109096904,0.2900830359489654,-0.3513623332392207,-0.0017622688307455821,20,6.0,-0.026860709363876682,-0.003300299164410453,0.20658373113315437,0.0005801079887404457,0.17674458765071002,204,superior protocerebrum
SLP_R,0.6664468040176662,0.29248675756446013,0.1788489843805033,0.000533222315877641,20,22.0,0.003032188244531042,0.010446043148162975,0.29773257924641805,0.001557485254822254,0.011022061303794899,2109,superior protocerebrum
SMP_L,0.4981025441101804,0.292730202205053,0.6122500865137844,0.004481490914463723,20,22.0,0.011035003700357471,-0.002902292351306564,0.35428493137920775,0.0031532077074873112,0.06277120246587384,2354,superior protocerebrum
SMP_R,0.5561460857546396,0.29321006092189983,0.8685150659695889,0.004839281382700868,20,21.0,0.0035258651882899357,-0.0068449964586859025,0.33495056531927614,0.0024713036258836247,0.04972845063433165,2223,superior protocerebrum
SPS_L,0.39015370895161644,0.2918067739177956,0.39183982335854906,0.0024671222436964024,20,15.0,-0.0036950516419438496,-0.00397186975823459,0.434056145794664,0.003125166345886857,0.06363376166923086,1212,superior protocerebrum
SPS_R,0.3687415820495703,0.29091991867178035,0.1750949330748462,0.0007487365207685785,20,12.0,-0.003804817920728539,0.0005749492867045017,0.4217757249101971,0.002592490418520893,0.00868847763696074,1338,superior protocerebrum
VES_L,0.5288246271017758,0.29372738979272384,0.42453996948849443,0.002880946359389555,20,6.0,0.005556477753682605,-0.0003174273215518673,0.40078493198798293,0.004903276535505631,0.5628716105110683,590,inferior/ventrolateral protocerebrum
VES_R,0.52496811281809,0.2932264131550648,0.5120353066851676,0.002873989705907163,20,6.0,-0.002718082978190626,0.0012867964997239378,0.37671549102273283,0.005919670463240947,0.52009075589155,515,inferior/ventrolateral protocerebrum
WED_R,-0.8475651159819598,0.2791598577287774,-0.17658411067365865,-0.0006211152365773069,20,1.0,0.0018852715074512546,0.006020152274199405,0.32775072552998974,0.00114411187717683,0.5129410357209376,789,optic/lateral protocerebrum
