recording_id,node,FCV_raw,EdgeStdFCV,NetTE_raw,NetTE,n_nodes
2023-01-16-08,BAGL,0.3852519715768261,1.0409554922632547,0.005918294336824502,0.9833524800066715,71
2023-01-16-08,ADLL,0.3557771482938693,-0.11026270907819175,-0.0001948155627381836,-0.03236952335582512,71
2023-01-16-08,ASGL,0.38104015543031616,0.8764517270661376,-0.0014637313739682245,-0.24320586215175066,71
2023-01-16-08,AVEL,0.3649208484351923,0.24686900055909866,-0.013974169203696693,-2.321874033365685,71
2023-01-16-08,SAADL,0.3745557603330785,0.6231863015548111,0.008988703996879448,1.4935155070573833,71
2023-01-16-08,SMDVR,0.398792866425795,1.5698314235261686,-0.0035399597987476827,-0.5881809942373059,71
2023-01-16-08,RICL,0.30433813621360123,-2.1193511571188095,-0.007240539071604538,-1.2030496706366598,71
2023-01-16-08,AQR,0.3774411198277855,0.7358817479645177,0.003402796907505217,0.5653907338021456,71
2023-01-16-08,SAAVL,0.3503116202380228,-0.32373355222557154,-0.0015990934442446354,-0.26569690770129767,71
2023-01-16-08,AWBL,0.3388206617835794,-0.772543724779271,-0.007301194021311146,-1.2131277762231887,71
2023-01-16-08,URYVL,0.36060900461751805,0.07845838663971232,-0.0059077021887138275,-0.9815925447076749,71
2023-01-16-08,ASEL,0.40054501369642126,1.6382662300731532,0.0005214131642569785,0.0866352531657518,71
2023-01-16-08,AIZR,0.32590899532591777,-1.2768434551971553,-0.004355241228059782,-0.7236438438000734,71
2023-01-16-08,CEPDL,0.34534428236921116,-0.5177462427137007,-0.0042379797894236595,-0.7041603034539116,71
2023-01-16-08,RMDL,0.3699803269194823,0.44448048967625364,0.011736601880789913,1.9500916834288846,71
2023-01-16-08,URBL,0.3565703391306576,-0.07928251558621074,-0.003737665988320866,-0.621030808856998,71
2023-01-16-08,AUAL,0.37544252962457736,0.6578214523397324,-0.010183752230776496,-1.6920783999534457,71
2023-01-16-08,AVAL,0.37460828107117167,0.6252376397107782,-0.005041213209160331,-0.837621319478015,71
2023-01-16-08,OLQVL,0.3909756052565802,1.264507342148437,0.009009432896766574,1.496959711409469,71
2023-01-16-08,IL2DR,0.3402877450073264,-0.7152428584145583,-0.0037375577781416742,-0.6210128292260412,71
2023-01-16-08,AVDL,0.329732663203742,-1.1274998606799602,-0.0033330964311319797,-0.5538096713543382,71
2023-01-16-08,OLQDR,0.33929222601703574,-0.7541255200814849,-0.0019335447359431284,-0.321267565126493,71
2023-01-16-08,FLPL,0.31590648444202873,-1.667518319575641,-0.005123363378168299,-0.8512709569967697,71
2023-01-16-08,AVER,0.378283449664918,0.7687811967832873,0.0010104950347454623,0.1678985095872301,71
2023-01-16-08,ADEL,0.319523386865931,-1.5262505038910612,-0.0015578873644438408,-0.2588503234563503,71
2023-01-16-08,RMDR,0.3625487631908158,0.15422085531852295,0.004251164826745736,0.7063510595082313,71
2023-01-16-08,IL2DL,0.3371277875735021,-0.8386634631238739,0.001964457038575589,0.3264037898098799,71
2023-01-16-08,RID,0.3838295054631873,0.9853972666857211,0.002890982898504107,0.48035042549543777,71
2023-01-16-08,AIBR,0.3704882585364355,0.4643191199832065,0.0042834835838098705,0.7117209732200258,71
2023-01-16-08,AINL,0.37422027401564,0.6100829844889696,-0.0009425644948584365,-0.15661153042323994,71
2023-01-16-08,CEPVR,0.34043750514419835,-0.7093935749855352,0.00016666688592340708,0.02769248811908682,71
2023-01-16-08,IL1L,0.3891670791454997,1.1938705089199566,0.005006052270020638,0.8317791638273158,71
2023-01-16-08,RIVR,0.3663602666065489,0.30308933417397527,-0.007562295596121414,-1.2565110327006095,71
2023-01-16-08,AIZL,0.32853509200581354,-1.1742742127166936,-0.0013463006714210365,-0.22369419780951008,71
2023-01-16-08,URXL,0.3742872219776941,0.6126978165345937,0.0026901114709747226,0.4469746916806365,71
2023-01-16-08,IL2L,0.3369169590481074,-0.8468979360998887,0.007432710717043449,1.2349798946800132,71
2023-01-16-08,IL1DL,0.345821449957011,-0.49910918399779763,0.00033317135531574547,0.0553579899665334,71
2023-01-16-08,RMDDR,0.3234225623461755,-1.3739577576381163,-0.00035760296507744623,-0.05941741700452936,71
2023-01-16-08,AWBR,0.3150947903783941,-1.6992212061716498,-0.0009812997986989964,-0.16304758360471525,71
2023-01-16-08,IL1DR,0.3465875099884577,-0.4691886568056418,-0.0039073852387931105,-0.6492304617229119,71
2023-01-16-08,RIVL,0.3960359751914096,1.4621536492550564,0.0015125836748006018,0.25132290203580043,71
2023-01-16-08,URYDR,0.3331388852519582,-0.9944607315875594,-0.0016532741106199227,-0.2746992806176031,71
2023-01-16-08,AVJL,0.33634383029398435,-0.8692830152952623,-0.0015943869336428344,-0.26491489879652563,71
2023-01-16-08,OLQDL,0.3937070707536178,1.3711920461189648,0.010395494822887144,1.7272604289680362,71
2023-01-16-08,AVBL,0.35741424770511004,-0.046321404951171985,-0.0008861018061709722,-0.14722998875114163,71
2023-01-16-08,AWAR,0.3055270083881811,-2.0729165687480586,-0.005810465718768018,-0.96543624722964,71
2023-01-16-08,SMDVL,0.3875672426630972,1.1313846083250323,0.008432175002962332,1.401045593393432,71
2023-01-16-08,ADAL,0.3699971694130027,0.4451383183902898,-0.0008790817826730762,-0.14606357878173393,71
2023-01-16-08,AVAR,0.37542282363675994,0.6570517821831706,0.006364064398470554,1.0574192753846743,71
2023-01-16-08,RMDDL,0.3605376547497512,0.07567162637153435,0.0006999587606043927,0.11630144497207294,71
2023-01-16-08,RIBL,0.3780938209937823,0.7613747409205361,0.022495733209262625,3.7377720305756426,71
2023-01-16-15,URYDL,0.3087939463529952,-0.2448058765349335,9.917212311522015e-07,0.00014276370035440605,70
2023-01-16-15,OLQDR,0.3093252197942513,-0.22782151193664374,-0.006028181418170473,-0.8677897161340585,70
2023-01-16-15,AWAL,0.34897683337915925,1.0398071887269074,-0.005143526401037497,-0.7404387834165446,70
2023-01-16-15,CEPDL,0.3302295431533205,0.44047210494641553,-0.0020993331568657653,-0.3022105006289379,70
2023-01-16-15,CEPVR,0.252327737627728,-2.0499830263760987,-0.00021962576312055575,-0.03161633093185108,70
2023-01-16-15,IL2DL,0.2667366876714952,-1.5893410254447993,0.0009508575529620713,0.13688115017270153,70
2023-01-16-15,OLLL,0.292302966167547,-0.772008628079568,-0.008212657847484752,-1.1822570569446984,70
2023-01-16-15,AWCL,0.28017569481759674,-1.159707282284725,-0.005804013935744183,-0.8355195798447237,70
2023-01-16-15,IL1R,0.3296368856778486,0.4215253444580377,0.0022695335156247085,0.3267117740259426,70
2023-01-16-15,AUAR,0.34605891950111733,0.9465239388548707,0.0015971980038710543,0.22992539644067345,70
2023-01-16-15,AWBL,0.3232597454772705,0.2176535416347352,-0.0014846757111270797,-0.21372719640231394,70
2023-01-16-15,AVDL,0.2810798452206572,-1.1308023551704296,-0.0026486628233202167,-0.38128951339381956,70
2023-01-16-15,CEPVL,0.307539697543684,-0.2849031549231476,-0.0016040788754611995,-0.2309159355750745,70
2023-01-16-15,RIVL,0.3564743145403469,1.2794953487624208,0.0020045954168026363,0.2885724843096619,70
2023-01-16-15,AVJR,0.27740174494598113,-1.2483881240853294,0.00234997941040357,0.3382924009765305,70
2023-01-16-15,RIR,0.34279015277562036,0.8420242188588326,-0.0013830010957891394,-0.19909057891163978,70
2023-01-16-15,RIVR,0.3481176128282204,1.0123386311551523,0.006655498886449301,0.9580954999120188,70
2023-01-16-15,IL2DR,0.29295432377086883,-0.751185273927835,-0.005762130955045252,-0.8294902954867549,70
2023-01-16-15,CEPDR,0.2853297882386482,-0.9949352552287378,-0.003929042532138376,-0.5656071818551535,70
2023-01-16-15,URYVL,0.3164291592232595,-0.0007145497268206923,-0.003989043318123212,-0.5742446234690796,70
2023-01-16-15,RICL,0.29437713172437363,-0.7056993016222455,-0.00372825483030625,-0.5367026929738298,70
2023-01-16-15,RICR,0.30660051676283845,-0.31492797372054826,-0.00257337300613066,-0.3704511320389101,70
2023-01-16-15,OLQVL,0.33732213982113346,0.6672164486311437,-0.001904379607974728,-0.27414587000227275,70
2023-01-16-15,URBR,0.2885578488434838,-0.8917368756367298,-0.004064867254595259,-0.5851598942187137,70
2023-01-16-15,URXR,0.3427348511202987,0.8402562715007813,0.001802992702286078,0.2595506698906666,70
2023-01-16-15,RIBL,0.3642789397657463,1.5290026459233272,0.026584304493085575,3.826956166272386,70
2023-01-16-15,SMDDR,0.3337094175809691,0.5517207604329486,-0.010697012622383012,-1.5398935272716912,70
2023-01-16-15,IL1VL,0.27949236090830887,-1.1815528920149587,-0.0015951337969840945,-0.22962824255889455,70
2023-01-16-15,AIBL,0.3548708919551567,1.2282352787547564,0.0073566692953007965,1.0590328187897755,70
2023-01-16-15,AVDR,0.27745617680615314,-1.2466479833458664,-0.0022795999336330396,-0.3281608900063617,70
2023-01-16-15,AVAL,0.3663134931838489,1.594045605658051,0.010621736795899568,1.529057159955518,70
2023-01-16-15,FLPL,0.2933241985695545,-0.7393606880389882,-0.0033493289950274605,-0.4821542445742394,70
2023-01-16-15,URXL,0.35969212904651415,1.3823661692069553,0.013381753866852981,1.9263767268995942,70
2023-01-16-15,OLQVR,0.299025000603361,-0.5571108469479107,-0.0026085027690437197,-0.3755082537264377,70
2023-01-16-15,AUAL,0.3424775547186222,0.8320307221761811,-0.0009986189492933607,-0.1437566646420512,70
2023-01-16-15,AWAR,0.3210226831571433,0.1461365428096082,-0.0026882851170609927,-0.3869933594881403,70
