legacy_order,root_area_id,node,anatomy_group,spont_FCV,spont_FCS,Hard_OO_fraction,FU_DCApost,FU_DCApre,Reciprocity,LogOutIn,stim_FCV,stim_FCS,stim_FCV_condition_sd,EdgeStdFCV,FCS,ConditionFCVSD,Hard_OO_fraction_raw,FU_DCApost_raw,FU_DCApre_raw,Reciprocity_raw,LogOutIn_raw
22,52,rHb,Di,0.3569570426471103,0.1317289325656861,0.09447359672268998,0.9615517530050816,-0.7361499819288613,-0.4711986428726049,-0.4622553427494954,0.4617221256356252,-0.0688839397144224,0.035117085917498625,0.8836369916909707,-0.42915362309726357,-1.7896724643652304,0.09447359672269,0.9615517530050816,-0.7361499819288613,-0.471198642872605,-0.4622553427494954
23,36,rMON,Hind,0.3151442719997252,0.110071738192932,1.4952343890386004,1.0002419081663274,-1.062162285947073,-1.5346203808952124,1.610167413732582,0.4240261987674191,-1.6614121734876386,0.2675653350587052,0.8078358570324056,-3.046664132876301,-0.014127340974787173,1.4952343890386004,1.0002419081663272,-1.062162285947073,-1.5346203808952126,1.610167413732582
24,38,rMOS1,Hind,0.3252162396870897,0.2904523035612557,-0.13311897373778372,-0.8319952995734702,0.9818035683408284,1.0458198415248572,-0.056176214529419406,-0.6903829062206954,0.6032441867823881,0.3555794222951652,-1.4330819728242357,0.6755692934033359,0.658164164595666,-0.1331189737377837,-0.83199529957347,0.9818035683408284,1.045819841524857,-0.0561762145294194
25,39,rMOS2,Hind,0.3109917860824364,0.2943928359931383,-0.6713400005740797,0.8036149777622046,0.6793051689666035,0.9822888002780678,-0.975322781458256,-0.439598945726378,0.6147048534527576,0.2789520147255733,-0.9287911823072529,0.6944062689888114,0.07284928125752334,-0.6713400005740797,0.8036149777622046,0.6793051689666035,0.9822888002780676,-0.975322781458256
26,40,rMOS3,Hind,0.3336398480067393,0.2856773466653547,0.06393665354978259,-2.175973122967031,0.017061944529413658,0.3407467806135319,0.4719210851527431,-0.5242202708499484,0.3659446770251312,0.5077994204734724,-1.0989526027467664,0.2855391843085884,1.8208895301191161,0.0639366535497826,-2.1759731229670307,0.0170619445294137,0.3407467806135318,0.4719210851527431
27,41,rMOS4,Hind,0.3112084944032485,0.3062387423981464,0.492103905041765,-0.6036743869994288,-0.21547580047274237,0.10977399148311592,0.4799979192093148,-0.6446378953899202,0.7618597632668537,0.12102099642170269,-1.3410952778673932,0.9362729529416399,-1.1334994454699465,0.492103905041765,-0.6036743869994285,-0.2154758004727423,0.1097739914831158,0.4799979192093148
28,42,rMOS5,Hind,0.3227070254352224,0.2385874546664438,0.5739626181377064,0.10332333052698703,-0.7471038351890212,-0.4714397827407566,0.6161339384400797,0.1402870184951931,0.2737874806720645,0.14969190670604507,0.23727681793722485,0.13406781639796217,-0.914498032783011,0.5739626181377064,0.1033233305269871,-0.7471038351890212,-0.4714397827407567,0.6161339384400797
29,71,rNX,Hind,0.3057767917003242,0.2719492691915114,-0.5325229868845117,1.1435171041482985,-0.5653588103470172,0.6209974984033735,-0.9078749474190438,-0.1488175891968711,-0.0047000831091007,0.1968526213730006,-0.34407133075523016,-0.3236597827623081,-0.554263110593283,-0.5325229868845117,1.1435171041482983,-0.5653588103470172,0.6209974984033734,-0.9078749474190438
30,58,rP,Tel,0.3615916845407643,0.1716801463572111,1.830715882829782,0.7929500477349019,-0.5992352780594198,-1.2270258181418368,0.4660816095760272,0.8227159214768245,0.1698786775929509,0.15949603883190003,1.609544048576332,-0.03671872185619847,-0.8396096262260633,1.830715882829782,0.7929500477349019,-0.5992352780594198,-1.227025818141837,0.4660816095760272
31,61,rPO,Tel,0.3592067125583424,0.2239723623683047,1.204327594880508,0.6771615500890783,-0.07320398733451254,-1.5714848706640603,1.613499069235407,0.3721760404038982,0.458726783230603,0.13643988697680498,0.7035725807924437,0.4380376662581658,-1.0157229681923226,1.204327594880508,0.6771615500890783,-0.0732039873345125,-1.5714848706640605,1.613499069235407
