legacy_order,root_area_id,node,anatomy_group,EdgeStdFCV,FCS,OO_fraction,PostDCA,PreDCA,Modularity,LogOutIn,EdgeStdFCV_raw,FCS_raw,OO_fraction_raw,PostDCA_raw,PreDCA_raw,Modularity_raw,LogOutIn_raw
29,71,rNX,Hind,-0.34407133075523016,-0.3236597827623081,-0.5048071453397843,-1.343723391681294,0.8828881699894522,-0.9727284017780702,-0.8815395499168435,-0.1488175891968711,-0.0047000831091007,0.1652089114805199,-0.0231380500189062,0.0063500292827147,0.4653567055895052,-0.873119348179323
30,58,rP,Tel,1.609544048576332,-0.03671872185619847,1.3724148348987009,1.7639208126308612,-1.463569154412262,1.3485189864715366,0.7524376377844686,0.8227159214768245,0.1698786775929509,0.2676228478005439,0.0078855678019352,-0.013642830080509,0.7669863168910445,1.5490632107525393
31,61,rPO,Tel,0.7035725807924437,0.4380376662581658,1.7332956388780754,1.688821051948429,0.657244171595891,0.5344345973678193,0.05820515008133125,0.3721760404038982,0.458726783230603,0.2873111020757082,0.00713584675259,0.0044274421215831,0.6612018326111635,0.5199436880228233
32,60,rPT,Di,0.43379220325717277,0.10986132009838964,0.46951305189423925,0.12865696662221768,-0.30340276860273213,0.2146238224257715,-0.6788937666262576,0.2380141782120702,0.2590599261297714,0.2183640352140284,-0.0084392741875101,-0.0037576967997051,0.6196446938830268,-0.5727203673232523
33,62,rPrT,Di,-0.6632270028439329,0.6169095980478144,-0.7429663115741204,-1.190604467017737,-0.17464492220315897,0.5678743597073743,-0.4306116447521869,-0.3075338000929238,0.5675548473550215,0.1522158728620105,-0.0216094635117028,-0.0026606227177656,0.6655470922192321,-0.2046707826506533
34,46,rRa,Hind,0.22046967767619396,-0.6761796710992982,-0.778301934650669,-1.145071597294029,0.9445621089531033,0.802122307634848,-1.011350798156423,0.1319288226318029,-0.2191778752882923,0.150288098581885,-0.0211549087893075,0.0068755186556743,0.6959859492920352,-1.0655495386408071
35,64,rSP,Tel,0.8328936101326125,0.34067462228813883,-0.029474957567220978,1.517529452963815,0.00841020695571274,0.27058437778455835,1.3142123435094826,0.4364874268559123,0.3994898113563391,0.1911411884950968,0.0054258424041367,-0.0011009116525225,0.6269163705886353,2.38182936226196
36,47,rT,Mes,-0.8452684802052951,1.2118863645401499,-0.6035897656799111,-1.1327401509333177,-0.09980878085926137,-0.30094613813129745,0.21471920241099332,-0.3980630810661436,0.9295466313567312,0.1598197155859813,-0.0210318039375545,-0.0020229855301571,0.5526500393758027,0.7519577030495472
37,68,rTS,Mes,-0.10531641221850191,-1.1388818032118864,-1.7864397385077162,0.12340756322414086,-1.2433303577901405,1.848853070701579,0.33069477963346655,-0.0300846970162386,-0.5006920111297432,0.0952880176469133,-0.0084916789913108,-0.0117662976409879,0.8320011774833146,0.9238781083800044
38,65,rTeO,Mes,1.256887505486725,-0.23396058522169688,-1.1285942569476242,-1.1859870012132263,-0.3174198477814864,0.9993764451505468,-0.7676795560714503,0.6473397174426797,0.0498741025900747,0.131177510720264,-0.0215633673420637,-0.0038771285446551,0.7216177234526283,-0.704335050988257
